Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1965-66,22,NYK,NBA,SG,79,NA,29,4.5,10.6,0.428,3.2,4.4,0.715,NA,NA,4.8,2.3,NA,NA,3,12.3
1966-67,23,NYK,NBA,SG,79,NA,36.6,5.2,11.6,0.449,4.7,6.4,0.729,NA,NA,7,3.1,NA,NA,3.3,15.1
1967-68,24,NYK,NBA,SG,78,NA,30.1,4.1,9.3,0.436,2.9,4.3,0.67,NA,NA,5.4,2.9,NA,NA,2.9,11
1968-69,25,PHO,NBA,SG,80,NA,42.4,7.7,17.3,0.442,5.7,8.1,0.705,NA,NA,6.9,4.8,NA,NA,3.1,21
1969-70,26,PHO,NBA,SG,77,NA,38.5,7.7,15.1,0.508,6,7.5,0.798,NA,NA,3.4,4.4,NA,NA,3.7,21.3
1970-71,27,PHO,NBA,SG,81,NA,39,7.5,16.6,0.452,6.8,8.4,0.811,NA,NA,3.9,4.1,NA,NA,3,21.9
1971-72,28,PHO,NBA,SG,82,NA,37.8,6.6,14.4,0.463,6.5,7.6,0.845,NA,NA,4.1,3.6,NA,NA,2.8,19.7
1972-73,29,PHO,NBA,SG,81,NA,36.8,6.6,13.8,0.476,5.3,6.1,0.859,NA,NA,4,3.3,NA,NA,2.7,18.4
1973-74,30,PHO,NBA,SG,78,NA,36.3,6.6,13.2,0.5,4.6,5.4,0.853,0.8,2,2.8,4.2,1.2,0.2,3.1,17.8
1974-75,31,PHO,NBA,SG,70,NA,34.6,6,12.8,0.47,4,4.8,0.832,0.7,2,2.7,2.8,1.2,0.2,2.5,16.1
1975-76,32,PHO,NBA,SG,58,NA,32.2,4.8,9.8,0.484,3.4,4.1,0.83,0.7,1.7,2.4,2.4,0.9,0.2,1.9,12.9
1976-77,33,PHO,NBA,SG,78,NA,19.7,2.9,6.4,0.456,1.9,2.1,0.873,0.4,1.1,1.5,1.5,0.4,0.1,1.2,7.7
Career,NA,,NBA,,921,NA,34.5,5.9,12.7,0.464,4.6,5.8,0.79,0.7,1.7,4.1,3.3,0.9,0.2,2.8,16.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,PHO,NBA,,685,NA,35.4,6.3,13.4,0.471,5,6.1,0.813,0.7,1.7,3.6,3.5,0.9,0.2,2.7,17.6
3 seasons,NA,NYK,NBA,,236,NA,31.9,4.6,10.5,0.438,3.6,5.1,0.708,NA,NA,5.7,2.8,NA,NA,3.1,12.8
