Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1966-67,22,LAL,NBA,PF,22,NA,5.4,0.9,2.4,0.385,1.1,1.5,0.706,NA,NA,2,0.2,NA,NA,0.9,2.9
1967-68,23,SDR,NBA,C,52,NA,34.7,7,16.6,0.423,6.1,7.6,0.802,NA,NA,11,1.4,NA,NA,3.6,20.2
1968-69,24,SDR,NBA,PF,78,NA,31.9,5.7,13.6,0.422,3.8,5.1,0.748,NA,NA,9,1.8,NA,NA,3.2,15.3
1969-70,25,SDR,NBA,PF,82,NA,26.2,5.5,12.5,0.442,3.5,4.5,0.782,NA,NA,7.4,1.7,NA,NA,3.4,14.5
1970-71,26,SDR,NBA,PF,73,NA,20.1,3.4,8,0.42,2.9,3.7,0.785,NA,NA,6.1,1.3,NA,NA,2.6,9.6
1971-72,27,MIL,NBA,PF,79,NA,19.3,2.9,6.7,0.44,2.6,3.5,0.749,NA,NA,5.2,1.2,NA,NA,2.7,8.5
1972-73,28,TOT,NBA,PF,73,NA,28,5.4,12.1,0.441,4.1,5.2,0.794,NA,NA,7.7,1.5,NA,NA,3.3,14.8
1972-73,28,PHI,NBA,PF,48,NA,32.5,6.5,14.7,0.441,4.9,6.3,0.781,NA,NA,9.2,2,NA,NA,3.6,17.9
1972-73,28,KCO,NBA,PF,25,NA,19.3,3.2,7.2,0.444,2.6,3,0.842,NA,NA,4.8,0.8,NA,NA,2.8,9
1973-74,29,KCO,NBA,PF,82,NA,21.7,3.4,7.7,0.434,2,2.5,0.796,1.6,3.2,4.7,1.1,0.8,0.4,2.8,8.7
1974-75,30,TOT,NBA,PF,54,NA,17.4,2.9,6.4,0.46,2.1,2.7,0.792,1.3,3,4.3,0.9,0.8,0.6,2.2,8
1974-75,30,NOJ,NBA,PF,4,NA,14.3,2.3,7.3,0.31,2.3,2.5,0.9,1.5,3,4.5,1.8,1,0.3,2.8,6.8
1974-75,30,CHI,NBA,PF,50,NA,17.6,3,6.3,0.473,2.1,2.7,0.784,1.3,3,4.3,0.9,0.8,0.6,2.2,8.1
1975-76,31,CHI,NBA,PF,2,NA,3.5,1,2,0.5,0,1,0,0,1,1,0,0.5,0,1,2
Career,NA,,NBA,,597,NA,24,4.3,10,0.433,3.2,4.1,0.778,1.4,3.1,6.6,1.3,0.8,0.5,2.9,11.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,SDR,NBA,,285,NA,27.8,5.3,12.4,0.428,3.9,5,0.778,NA,NA,8.2,1.6,NA,NA,3.2,14.5
2 seasons,NA,KCO,NBA,,107,NA,21.1,3.3,7.6,0.436,2.1,2.6,0.809,1.6,3.2,4.8,1.1,0.8,0.4,2.8,8.8
1 season,NA,MIL,NBA,,79,NA,19.3,2.9,6.7,0.44,2.6,3.5,0.749,NA,NA,5.2,1.2,NA,NA,2.7,8.5
2 seasons,NA,CHI,NBA,,52,NA,17.1,2.9,6.2,0.474,2,2.6,0.772,1.2,2.9,4.2,0.8,0.8,0.6,2.2,7.9
1 season,NA,PHI,NBA,,48,NA,32.5,6.5,14.7,0.441,4.9,6.3,0.781,NA,NA,9.2,2,NA,NA,3.6,17.9
1 season,NA,LAL,NBA,,22,NA,5.4,0.9,2.4,0.385,1.1,1.5,0.706,NA,NA,2,0.2,NA,NA,0.9,2.9
1 season,NA,NOJ,NBA,,4,NA,14.3,2.3,7.3,0.31,2.3,2.5,0.9,1.5,3,4.5,1.8,1,0.3,2.8,6.8
