Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Joe Hamilton,,4.1,2.9,2.9,2.2,0.2,0.2,NA,NA,NA,NA,NA,NA
T.J. McConnell,87.0,3.8,3.8,2.9,1.9,NA,NA,NA,NA,NA,NA,NA,NA
Skeeter Swift,86.9,4.3,3.4,2.7,1.8,0,NA,NA,NA,NA,NA,NA,NA
Bill Gabor,86.3,3.5,2.9,2.8,1.5,0.5,0,NA,NA,NA,NA,NA,NA
Jaren Jackson,85.3,4.1,3.1,2.1,1.6,0.4,0.2,0.1,0,0,0,0,-0.1
Greivis Vásquez,85.1,3.8,3.6,2.8,2.3,0.5,0,-0.3,NA,NA,NA,NA,NA
Andre Roberson,84.0,4.2,3.4,2.2,2.1,0.8,NA,NA,NA,NA,NA,NA,NA
Eric Money,83.9,4.2,3.6,3.3,2.7,0.6,0.3,NA,NA,NA,NA,NA,NA
Whitey Skoog,83.8,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA,NA
Lee Winfield,82.4,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA,NA,NA
Elfrid Payton,81.5,4.4,2.8,2.3,2.2,1.5,NA,NA,NA,NA,NA,NA,NA
