Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1997-98,21,UTA,NBA,PG,8,23,19.1,0.429,0.214,0,5.8,5.1,5.4,35.1,4.7,0,6.7,30.2,NA,0,0,0,0.075,NA,-1.1,0.5,-0.6,0
1998-99,22,LAC,NBA,PG,25,524,14.1,0.507,0.313,0.253,3.2,9.6,6.2,29.7,1.1,0.3,18.6,17.7,NA,0.7,-0.2,0.5,0.043,NA,0.9,-3.1,-2.2,0
1999-00,23,LAC,NBA,PG,62,1592,11.6,0.468,0.357,0.176,1.9,8.7,5.2,25.3,1.4,0,15.6,19.2,NA,0.1,-0.2,-0.2,-0.005,NA,-0.9,-2.5,-3.4,-0.6
2000-01,24,ORL,NBA,PG,75,1008,10.2,0.427,0.293,0.28,4.1,7.6,5.8,25.5,1.9,0.2,18,22.4,NA,-0.7,0.8,0.1,0.003,NA,-2.6,-1.7,-4.3,-0.6
2001-02,25,ORL,NBA,PG,81,1854,15.3,0.526,0.229,0.247,1.8,7,4.4,23.4,1.6,0.2,15.3,25.8,NA,1.5,0.9,2.5,0.064,NA,0.2,-2,-1.8,0.1
2002-03,26,MIN,NBA,PG,79,2600,15.2,0.531,0.278,0.242,1.9,6,4,27,1.2,0.2,14.7,21.6,NA,4,1.1,5.1,0.094,NA,1.4,-1.7,-0.3,1.1
2003-04,27,MIN,NBA,PG,29,503,12.5,0.492,0.372,0.159,1,6.7,4,22.9,0.8,0,13.3,23.9,NA,0.3,0.3,0.6,0.058,NA,0.1,-2.1,-2,0
2004-05,28,MIN,NBA,PG,79,1729,12.1,0.491,0.389,0.136,1.3,5.4,3.5,26.5,0.8,0.2,13.8,21.9,NA,0.7,0.6,1.3,0.036,NA,-0.1,-2.3,-2.4,-0.2
2005-06,29,MIN,NBA,PG,36,800,12.2,0.48,0.303,0.156,1.2,5.3,3.3,23.3,0.8,0.4,10.1,23.5,NA,0.3,0.4,0.7,0.042,NA,-0.1,-2,-2.1,0
2006-07,30,MIN,NBA,PG,34,554,10.8,0.483,0.41,0.164,1.8,8.4,5.2,21.4,1.3,0.3,16.1,20.9,NA,-0.2,0.3,0.1,0.005,NA,-0.8,-1.5,-2.2,0
2007-08,31,GSW,NBA,PG,9,93,5.2,0.416,0.387,0.194,0,8.4,4,12.7,1.6,0,17.2,18.4,NA,-0.2,0,-0.1,-0.062,NA,-4.6,-1.7,-6.3,-0.1
Career,NA,,NBA,,517,11280,13.1,0.497,0.312,0.206,1.9,6.9,4.4,25.3,1.3,0.2,14.9,22.1,NA,6.4,4.1,10.5,0.045,NA,0,-2.1,-2.1,-0.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,MIN,NBA,,257,6186,13.3,0.506,0.332,0.186,1.6,6,3.9,25.6,1,0.2,13.8,22.1,NA,5,2.8,7.8,0.06,NA,0.5,-1.9,-1.4,0.9
2 seasons,NA,ORL,NBA,,156,2862,13.5,0.495,0.249,0.257,2.6,7.2,4.9,24.1,1.7,0.2,16.2,24.6,NA,0.8,1.7,2.5,0.042,NA,-0.7,-1.9,-2.7,-0.5
2 seasons,NA,LAC,NBA,,87,2116,12.3,0.476,0.347,0.192,2.2,8.9,5.4,26.4,1.3,0.1,16.3,18.9,NA,0.7,-0.4,0.3,0.007,NA,-0.5,-2.7,-3.1,-0.6
1 season,NA,GSW,NBA,,9,93,5.2,0.416,0.387,0.194,0,8.4,4,12.7,1.6,0,17.2,18.4,NA,-0.2,0,-0.1,-0.062,NA,-4.6,-1.7,-6.3,-0.1
1 season,NA,UTA,NBA,,8,23,19.1,0.429,0.214,0,5.8,5.1,5.4,35.1,4.7,0,6.7,30.2,NA,0,0,0,0.075,NA,-1.1,0.5,-0.6,0
