Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,19,SEA,NBA,SF,20,7,145,7,19.2,0.365,0.4,2.2,0.167,6.6,17,0.391,3,5.2,0.571,4.8,4.4,9.2,1.5,3,0.4,7.4,7,17.4,NA,72,105
1999-00,20,SEA,NBA,SF,82,8,1575,9,18.5,0.486,1.3,3.9,0.333,7.7,14.6,0.527,2.7,4,0.683,4.1,6.8,11,2.3,2,1.2,2.5,5.3,22,NA,108,104
2000-01,21,SEA,NBA,PF,78,78,2720,8.2,17.1,0.48,2.4,5.5,0.432,5.8,11.6,0.503,3.4,4.1,0.826,2.8,7.7,10.4,2.4,1.8,0.9,2.5,3.7,22.2,NA,114,105
2001-02,22,SEA,NBA,SF,71,70,2585,9.5,20.3,0.468,2.6,6.6,0.389,6.9,13.7,0.506,3.4,4.2,0.81,2.9,7.5,10.4,2.6,2.2,0.8,2,3.6,24.9,NA,115,104
2002-03,23,SEA,NBA,SF,77,77,3044,9.3,20.6,0.452,1.3,3.9,0.346,8,16.7,0.476,5.1,6.2,0.82,2.7,6.3,9,2.4,1.8,0.6,2.6,3.7,25,NA,108,105
2003-04,24,SEA,NBA,SF,80,80,2931,9.7,22.4,0.435,2.6,7,0.376,7.1,15.3,0.463,3.8,4.9,0.763,2.4,7,9.4,3.2,1.8,1,2.5,4.2,25.9,NA,107,108
2004-05,25,SEA,NBA,SF,71,71,2697,10.8,23.3,0.462,3.5,8.7,0.4,7.3,14.6,0.499,4.5,5.7,0.777,2.2,5.6,7.9,1.9,1.5,1.3,2.5,3.2,29.5,NA,117,110
2005-06,26,SEA,NBA,SF,78,77,2876,9.8,21,0.467,2.6,6.7,0.384,7.2,14.2,0.507,6.4,7.8,0.818,2,5.1,7.1,3.3,1.9,0.9,2.6,3.5,28.6,NA,119,115
2006-07,27,SEA,NBA,SF,60,60,2348,10.3,22.4,0.461,3.4,8.6,0.39,6.9,13.8,0.505,5.9,7,0.841,2,6.8,8.8,3.2,1.5,0.9,2.6,3.2,29.9,NA,117,110
2007-08,28,ORL,NBA,PF,81,81,3076,8.6,19,0.455,3.8,9.2,0.409,4.8,9.7,0.498,3.6,4.3,0.838,1.6,5.7,7.3,3.3,1.7,0.6,2.3,3.6,24.7,NA,115,106
2008-09,29,ORL,NBA,PF,79,79,2859,8.7,19.8,0.439,4,10.1,0.397,4.7,9.7,0.482,4.1,4.9,0.836,1.7,6.6,8.2,3.7,1.5,0.9,2.9,3.5,25.5,NA,113,103
2009-10,30,ORL,NBA,PF,72,72,2369,7.7,17.7,0.435,3.7,9.3,0.397,4,8.4,0.476,3.2,4,0.806,1.4,5.6,7,2.4,1.7,0.6,2.4,4,22.3,NA,111,104
2010-11,31,TOT,NBA,SF-PF,57,52,1824,7.2,16.5,0.433,2.5,6.9,0.357,4.7,9.6,0.488,2.2,2.7,0.802,2,6.2,8.2,2.6,1.5,0.9,2.5,4.5,19,NA,105,107
2010-11,31,ORL,NBA,PF,25,25,810,7.3,17.5,0.419,2.9,7.8,0.367,4.5,9.7,0.46,2.2,2.9,0.756,1.5,5.4,6.9,1.9,1.4,0.6,2.3,4.1,19.7,NA,103,104
2010-11,31,WAS,NBA,SF,32,27,1014,7,15.7,0.446,2.2,6.3,0.347,4.8,9.5,0.511,2.2,2.6,0.843,2.4,6.9,9.3,3.2,1.5,1,2.6,4.8,18.4,NA,107,110
2011-12,32,WAS,NBA,SF,28,15,729,6,15.7,0.385,1.1,4.8,0.239,4.9,11,0.448,2.2,2.6,0.838,2.4,5.3,7.8,1.9,1.6,0.7,2.3,3.5,15.4,NA,94,108
2012-13,33,MIA,NBA,PF,55,9,792,6.9,16.6,0.414,3.4,8.8,0.389,3.5,7.9,0.441,1.9,3,0.622,1.3,6.8,8.1,2,1.4,0.9,2.2,4.5,19.1,NA,101,105
2013-14,34,MIA,NBA,SF,60,6,971,5.3,12.8,0.415,2.5,7.3,0.343,2.8,5.5,0.51,1.4,1.8,0.788,1.3,4.7,6,3.1,2.9,0.4,1.9,4.9,14.5,NA,105,106
Career,NA,,NBA,,1049,842,33541,8.9,19.6,0.452,2.8,7.3,0.386,6.1,12.3,0.491,3.9,4.9,0.805,2.2,6.3,8.5,2.8,1.8,0.9,2.5,3.8,24.5,NA,112,107
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9 seasons,NA,SEA,NBA,,617,528,20921,9.6,20.8,0.461,2.5,6.4,0.386,7.1,14.4,0.494,4.5,5.6,0.801,2.6,6.6,9.1,2.7,1.8,0.9,2.5,3.8,26.1,NA,113,108
4 seasons,NA,ORL,NBA,,257,257,9114,8.3,18.8,0.442,3.7,9.4,0.399,4.5,9.4,0.485,3.5,4.3,0.825,1.6,5.9,7.5,3.1,1.6,0.7,2.5,3.7,23.9,NA,112,104
2 seasons,NA,MIA,NBA,,115,15,1763,6,14.5,0.414,2.9,7.9,0.366,3.1,6.6,0.473,1.6,2.3,0.692,1.3,5.6,6.9,2.6,2.2,0.7,2,4.7,16.6,NA,103,105
2 seasons,NA,WAS,NBA,,60,42,1743,6.6,15.7,0.42,1.7,5.6,0.309,4.9,10.1,0.482,2.2,2.6,0.841,2.4,6.2,8.6,2.7,1.6,0.9,2.5,4.3,17.2,NA,102,109
