Thru 9 Years,Thru 9 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9
Wes Matthews,,3,2.6,1.6,1.3,0.8,0.7,0.6,0.4,0.1
Si Green,87.9,2.6,2.6,1.6,1,0.8,0.8,0.4,0.1,NA
Anthony Bowie,87.1,2.9,2.5,2,1.6,1.3,0.7,0.7,0.5,NA
Rick Adelman,83.7,3.4,2.2,1.6,1.3,0.7,0.7,0.1,NA,NA
Gary Neal,80.0,3.5,2.5,1.9,1.4,1,0.6,-0.1,NA,NA
Sam Vincent,79.9,3.3,2.4,2.3,1.1,0.9,0.5,0.3,NA,NA
Robert Pack,79.2,3.1,2.7,2.2,1.7,1.1,1.1,0.7,0.4,-0.6
Haywoode Workman,78.7,2.8,2.5,1.9,1.6,1.4,0.3,0.1,0.1,NA
Mike Evans,78.1,2.9,1.9,1.6,1.1,1.1,0.9,0.1,-0.1,-0.2
Jordan Farmar,78.0,3.9,2.8,1.9,1.8,0.9,0.8,0.7,0.6,0.4
Ron Lee,78.0,3.8,2.8,1.6,1.4,0.8,0.3,NA,NA,NA
