Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Marv Roberts,,4.3,3.4,2.4,1.2,0.4,-0.2
Dave Budd,90.3,4.1,3.2,2.3,1.2,0.9,NA
Collis Jones,89.7,4.2,3.2,2.1,1.2,NA,NA
Dwight Davis,87.9,3.7,3.3,2.3,1.5,0.6,NA
Richaun Holmes,85.7,4.3,3.8,2.8,1.5,NA,NA
Eddie Griffin,85.5,3.9,3.2,2.4,1.5,-0.2,NA
Derrek Dickey,85.0,3.8,3.1,2.3,1.7,0.3,NA
Reggie Johnson,85.0,3.9,3,2.4,1.6,NA,NA
Don Collins,84.4,3.5,3.4,2.6,0.9,0,0
Bill Garnett,83.8,3.9,3.5,2,1.5,NA,NA
Kyle Singler,82.8,4.4,2.3,2,1.1,0.3,0
