Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
Maurice Lucas,,8.7,7.4,7.1,6.4,6.2,5.8,5.5,4.7,4,3.5,2.5,2.4,2.4,2.3,NA,NA,NA
Antonio McDyess,93.4,9.4,7.8,6.7,6.2,6,5.7,5.6,4.6,4.2,3.6,3.2,3,1.8,1.2,0.8,NA,NA
Michael Cage,90.1,8.1,7.6,7.2,6.8,6.7,6.7,6.2,5.8,4.9,4.3,3.2,2.5,2,1.7,0.7,NA,NA
Derrick McKey,90.1,7.4,7.4,6.6,6.4,6.3,5.7,5,4.1,3.9,2.1,1.8,1.6,1.6,1.4,0.4,NA,NA
Hedo Türkoğlu,89.6,9,7.6,7.3,6.8,6.7,5.2,4.9,3.4,3.4,2.8,2.6,2.1,1.2,0.8,-0.5,NA,NA
Jerome Kersey,88.7,8.8,8.6,6.8,6.8,6.7,6.4,3.8,3.6,3.4,3.2,2.5,2.4,2.2,2.1,1.2,0.6,0.5
Metta World Peace,88.2,8,7.2,6.7,5.5,5.3,4.7,4.6,4.4,3.7,2.7,2.6,2.3,1.9,1.3,0.3,0.1,-0.2
Grant Long,88.1,8.4,7.7,6.6,6.5,5.1,5,4.9,4.6,2.7,2.6,2.4,1.6,1.4,0.4,0.2,NA,NA
Antonio Davis,88.0,7.4,7.2,6.5,6.1,6,5.2,5,4,3.9,3.8,2.2,2,0.3,NA,NA,NA,NA
Corey Maggette,87.5,8.6,8.1,7,6.9,6.3,5,3.9,3.4,3.3,3.3,3,2.6,0.7,0.1,NA,NA,NA
Hot Rod Williams,87.5,9.2,8.7,7.7,7.5,7.4,5.7,5.3,5.3,4.5,3.7,2.8,2.4,0.4,NA,NA,NA,NA
