Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1960-61,23,CIN,NBA,PF,79,NA,19.9,3.2,7.6,0.415,2.1,3.1,0.672,6.2,1.4,2.4,8.4
1961-62,24,CIN,NBA,PF,79,NA,31.5,5.2,11.8,0.438,3.3,4.7,0.707,10.2,1.6,3.5,13.7
1962-63,25,CIN,NBA,PF,79,NA,31.5,5.6,12.6,0.444,3.2,4.5,0.714,11.1,1.3,3.8,14.3
1963-64,26,TOT,NBA,SF,81,NA,29.4,5.8,13.5,0.427,3.4,4.6,0.723,7.4,1.2,2.9,14.9
1963-64,26,CIN,NBA,SF,32,NA,22.7,4.3,10.4,0.416,2.3,3.7,0.622,5.6,1,2.6,11
1963-64,26,NYK,NBA,SF,49,NA,33.7,6.7,15.6,0.432,4,5.2,0.77,8.5,1.3,3,17.5
1964-65,27,NYK,NBA,SF,80,NA,26.7,5.3,12,0.44,3.6,4.7,0.768,7.6,1.4,2.3,14.2
1965-66,28,LAL,NBA,PF,78,NA,23.7,4.7,9.7,0.484,2.9,3.7,0.779,7,1.1,2.5,12.2
1966-67,29,CHI,NBA,PF,80,NA,30.6,6.7,13.8,0.487,4.5,5.8,0.781,8.5,1.1,2.7,18
1967-68,30,CHI,NBA,PF,77,NA,38.8,8.1,16.4,0.492,5.3,6.9,0.768,9.8,1.6,3,21.5
1968-69,31,CHI,NBA,PF,79,NA,36.4,8.4,17.4,0.481,5,6.2,0.806,7.8,2,2.8,21.7
1969-70,32,SEA,NBA,PF,82,NA,31.1,6,12.3,0.491,3.2,3.9,0.822,8.7,1.3,2.9,15.2
1970-71,33,MIL,NBA,PF,80,NA,22.2,3.6,8.1,0.45,1.9,2.3,0.818,5.4,1.6,2.7,9.1
Career,NA,,NBA,,874,NA,29.2,5.7,12.3,0.462,3.5,4.6,0.761,8.1,1.4,2.8,14.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,CIN,NBA,,269,NA,27,4.6,10.7,0.432,2.8,4.1,0.692,8.7,1.4,3.2,12
3 seasons,NA,CHI,NBA,,236,NA,35.2,7.7,15.9,0.486,4.9,6.3,0.785,8.7,1.6,2.8,20.4
2 seasons,NA,NYK,NBA,,129,NA,29.4,5.8,13.4,0.437,3.8,4.9,0.769,7.9,1.3,2.6,15.4
1 season,NA,SEA,NBA,,82,NA,31.1,6,12.3,0.491,3.2,3.9,0.822,8.7,1.3,2.9,15.2
1 season,NA,MIL,NBA,,80,NA,22.2,3.6,8.1,0.45,1.9,2.3,0.818,5.4,1.6,2.7,9.1
1 season,NA,LAL,NBA,,78,NA,23.7,4.7,9.7,0.484,2.9,3.7,0.779,7,1.1,2.5,12.2
