Thru 6 Years,Thru 6 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Mark Macon,,0.5,0.5,0.5,-0.2,-0.4,-0.8
Yakhouba Diawara,-27.9,0.7,0.5,0.5,-0.1,NA,NA
DeAndre Liggins,-27.9,0.6,0.5,0.5,0,0,NA
Acie Law,-39.3,0.7,0.6,0.4,-0.1,NA,NA
Pearl Washington,-41.0,0.7,0.7,0.5,NA,NA,NA
JaKarr Sampson,-42.8,0.8,0.6,0.5,0.1,NA,NA
Shawn Respert,-44.0,0.8,0.7,0.5,0.1,NA,NA
Mike Wilks,-47.3,0.8,0.7,0.6,0.5,0.2,-0.3
Sebastian Telfair,-49.0,0.8,0.7,0.6,0.5,0.3,-0.4
Mitchell Butler,-50.7,1.1,0.6,0.5,0.3,0.1,-0.2
Dante Exum,-52.0,1.2,1,0.7,-0.1,NA,NA
