Season,Team,Lg,Salary
1994-95,Los Angeles Clippers,NBA,"$250,000"
1995-96,Los Angeles Clippers,NBA,"$500,000"
1996-97,Los Angeles Clippers,NBA,"$600,000"
1997-98,Orlando Magic,NBA,"$1,000,000"
1998-99,Orlando Magic,NBA,"$1,150,000"
1999-00,Orlando Magic,NBA,"$2,000,000"
2000-01,Orlando Magic,NBA,"$4,500,000"
2001-02,Phoenix Suns,NBA,"$6,000,000"
2002-03,Phoenix Suns,NBA,"$6,585,000"
2003-04,Memphis Grizzlies,NBA,"$6,585,000"
2004-05,Memphis Grizzlies,NBA,"$6,573,148"
2004-05,Phoenix Suns,NBA,"$1,059,756"
2005-06,Orlando Magic,NBA,"$1,138,500"
2006-07,Orlando Magic,NBA,"$1,178,348"
2007-08,Orlando Magic,NBA,"$160,071"
Career,(may be incomplete),,"$39,279,823"
