Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2007-08,20,TOT,NBA,SG,50,679,11,0.499,0.159,0.446,4.5,13.7,9.1,11.7,1.4,0.2,16.5,21.8,NA,-0.3,0.4,0.1,0.004,NA,-2.7,-1.4,-4.1,-0.4
2007-08,20,LAL,NBA,SG,22,171,11,0.551,0.057,0.528,4.7,8.7,6.8,15.7,2.1,0,25.2,22.5,NA,-0.1,0.2,0,0.013,NA,-3.2,-1.2,-4.3,-0.1
2007-08,20,MEM,NBA,SG,28,508,11,0.483,0.189,0.422,4.4,15.4,9.8,10.3,1.2,0.3,13.4,21.6,NA,-0.2,0.2,0,0.001,NA,-2.5,-1.5,-4,-0.3
2008-09,21,TOT,NBA,PG-SG,63,1174,10.4,0.487,0.053,0.323,5.6,11.2,8.3,19.8,1.8,0.4,20.1,15.8,NA,-0.3,0.3,0,0,NA,-2.8,-1.4,-4.3,-0.7
2008-09,21,MEM,NBA,SG,7,44,13.2,0.479,0.067,0.733,11,5.7,8.4,20.1,1.2,0,13.1,24.3,NA,0,0,0,0.025,NA,-1.9,-3.6,-5.5,0
2008-09,21,WAS,NBA,PG,56,1130,10.3,0.488,0.052,0.3,5.4,11.4,8.3,19.7,1.8,0.4,20.5,15.5,NA,-0.3,0.3,0,0,NA,-2.9,-1.3,-4.2,-0.6
Career,NA,,NBA,,113,1853,10.6,0.492,0.1,0.378,5.2,12.1,8.6,16.8,1.7,0.3,18.5,18,NA,-0.6,0.7,0.1,0.002,NA,-2.8,-1.4,-4.2,-1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1 season,NA,WAS,NBA,,56,1130,10.3,0.488,0.052,0.3,5.4,11.4,8.3,19.7,1.8,0.4,20.5,15.5,NA,-0.3,0.3,0,0,NA,-2.9,-1.3,-4.2,-0.6
2 seasons,NA,MEM,NBA,,35,552,11.2,0.482,0.179,0.446,4.9,14.6,9.7,11.1,1.2,0.3,13.4,21.8,NA,-0.2,0.2,0,0.003,NA,-2.5,-1.7,-4.2,-0.3
1 season,NA,LAL,NBA,,22,171,11,0.551,0.057,0.528,4.7,8.7,6.8,15.7,2.1,0,25.2,22.5,NA,-0.1,0.2,0,0.013,NA,-3.2,-1.2,-4.3,-0.1
