Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Sidney Moncrief,,13.4,13.2,12.7,11.7,11.2,9.9,5,4.9,3.7,2.9,1.8
Chauncey Billups,90.1,15.5,13.5,12.1,11.4,11.3,9.9,7.6,3.7,3,2.3,0.1
Clyde Drexler,89.0,13.2,12.8,12.6,12.4,11.6,10.3,7.5,6.8,6.7,6,2.4
Kevin Johnson,88.0,12.7,12.2,11.7,11.6,10,8.7,8.2,5.1,4.8,4,3.5
Gary Payton,87.2,13.9,12.9,12.5,11.7,11.5,10.8,9.3,7.8,7.2,3.9,3.4
Russell Westbrook,87.2,14,13.1,11.6,10.6,10.1,9.4,7.9,6.8,6.1,5.2,1.9
Steve Nash,86.8,12.6,12.4,11.6,10.9,9.9,8.8,8.4,4.8,3,1,0.7
Terry Porter,86.5,13,11.7,10.6,9.8,9.2,8.8,6.8,5.4,3.7,2.3,1.7
Dwyane Wade,85.8,14.7,14.4,13,12.8,11,9.6,8.8,7.7,5.5,4.6,3.3
Tiny Archibald,84.7,14.2,12.9,11.2,8.9,8,6.9,5.2,5.1,2.8,2.3,1.6
Kobe Bryant,82.6,15.3,14.9,13,12.7,11.3,10.7,10.6,8.1,6.3,5.2,1.8
