Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2002-03,25,TOT,NBA,SG-SF,76,62,2148,5.9,13.5,0.436,1.4,4.2,0.341,4.4,9.3,0.478,2.5,3.1,0.82,0.6,3.4,4,2.3,0.9,0.1,2.4,2.7,15.7
2002-03,25,MEM,NBA,SG,49,35,1187,6.3,14.5,0.433,1.4,3.9,0.354,4.9,10.6,0.463,2.7,3.2,0.822,0.5,2.7,3.3,2.1,0.7,0.2,2.9,3.2,16.6
2002-03,25,ORL,NBA,SF,27,27,961,5.4,12.2,0.44,1.5,4.5,0.328,3.9,7.7,0.505,2.3,2.8,0.816,0.7,4.2,4.9,2.5,1.1,0.1,1.9,2.1,14.5
2003-04,26,TOT,NBA,SF-SG,73,43,2041,5.6,12.8,0.436,1.1,2.7,0.395,4.5,10.1,0.448,2.4,2.8,0.854,0.9,3.1,4,2.2,1,0.3,1.8,2.5,14.6
2003-04,26,ORL,NBA,SF,48,25,1435,4.7,10.7,0.44,1.2,2.8,0.407,3.6,7.9,0.452,1.7,2,0.827,0.9,3.2,4.1,2,1,0.3,1.6,2.5,12.3
2003-04,26,UTA,NBA,SG,25,18,606,7.6,17.6,0.431,0.8,2.3,0.359,6.8,15.3,0.442,4,4.6,0.883,0.8,2.9,3.7,2.5,0.9,0.3,2.4,2.7,20.1
2004-05,27,UTA,NBA,SG,81,44,1660,6.1,13.7,0.448,0.8,2.3,0.362,5.3,11.4,0.465,2.4,3,0.81,0.5,3.4,3.9,3,1,0.2,2,3.4,15.5
2005-06,28,UTA,NBA,SG,37,36,956,6.3,14.4,0.433,0.7,2.2,0.305,5.6,12.2,0.457,1.6,2.1,0.754,0.6,2.1,2.6,2.4,0.6,0.2,2.4,3.3,14.8
2006-07,29,UTA,NBA,SG,61,6,1188,5.3,11.5,0.462,1.6,3.7,0.426,3.8,7.8,0.479,2.2,2.6,0.816,0.7,3.2,3.9,1.9,0.8,0.2,1.9,3.7,14.4
2007-08,30,TOT,NBA,SG,56,0,831,5.8,13.1,0.44,1.6,4.3,0.364,4.2,8.8,0.478,1,1.1,0.885,0.7,3.5,4.2,2.7,1,0.2,2.3,3.6,14.1
2007-08,30,UTA,NBA,SG,22,0,279,5.3,13.2,0.402,1.5,4.4,0.353,3.7,8.8,0.426,0.1,0.1,1,0.8,3.2,4,2.1,1.7,0.1,2.7,3.1,12.3
2007-08,30,PHI,NBA,SG,12,0,110,4.3,13.4,0.317,1.6,4.9,0.333,2.6,8.5,0.308,2,2.6,0.75,0.3,4.3,4.6,3.6,1,0.3,2.6,2.9,12.1
2007-08,30,PHO,NBA,SG,22,0,442,6.4,13,0.497,1.5,4.1,0.38,4.9,8.9,0.55,1.3,1.4,0.941,0.7,3.4,4.2,2.9,0.7,0.2,1.9,4,15.7
Career,NA,,NBA,,384,191,8824,5.8,13.2,0.442,1.2,3.2,0.368,4.6,10,0.465,2.2,2.6,0.823,0.7,3.2,3.8,2.4,0.9,0.2,2.1,3.1,15
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,UTA,NBA,,226,104,4689,6.1,13.8,0.442,1,2.8,0.373,5.1,11,0.46,2.3,2.8,0.819,0.6,3,3.6,2.5,0.9,0.2,2.1,3.3,15.5
2 seasons,NA,ORL,NBA,,75,52,2396,5,11.3,0.44,1.3,3.5,0.366,3.7,7.8,0.473,1.9,2.4,0.822,0.8,3.6,4.4,2.2,1.1,0.2,1.7,2.3,13.2
1 season,NA,MEM,NBA,,49,35,1187,6.3,14.5,0.433,1.4,3.9,0.354,4.9,10.6,0.463,2.7,3.2,0.822,0.5,2.7,3.3,2.1,0.7,0.2,2.9,3.2,16.6
1 season,NA,PHO,NBA,,22,0,442,6.4,13,0.497,1.5,4.1,0.38,4.9,8.9,0.55,1.3,1.4,0.941,0.7,3.4,4.2,2.9,0.7,0.2,1.9,4,15.7
1 season,NA,PHI,NBA,,12,0,110,4.3,13.4,0.317,1.6,4.9,0.333,2.6,8.5,0.308,2,2.6,0.75,0.3,4.3,4.6,3.6,1,0.3,2.6,2.9,12.1
