Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1968-69,24,LAS,ABA,C,58,NA,28.7,4.5,9.4,0.48,0,0,0,4.5,9.4,0.481,0.48,2.7,5.2,0.515,3.4,5.9,9.3,1,2.2,4.8,11.8
1969-70,25,NYA,ABA,C,74,NA,33.6,5.5,11.5,0.478,0,0,0.5,5.5,11.4,0.478,0.478,3.1,5.5,0.559,4.4,7.4,11.9,1.2,2.9,4.1,14
1970-71,26,TOT,ABA,C,34,NA,22.1,3.5,7.8,0.449,0,0,NA,3.5,7.8,0.449,0.449,2.4,3.8,0.631,2.9,5,7.9,1,2.2,3,9.4
1970-71,26,NYA,ABA,C,26,NA,22.8,3.7,8.4,0.445,0,0,NA,3.7,8.4,0.445,0.445,2.8,4.2,0.673,3.2,5.3,8.5,1,2.5,3.1,10.3
1970-71,26,TEX,ABA,C,8,NA,19.9,2.8,5.9,0.468,0,0,NA,2.8,5.9,0.468,0.468,1,2.5,0.4,2.1,3.9,6,1,1.3,2.6,6.5
Career,NA,,ABA,,166,NA,29.5,4.7,10,0.474,0,0,0.333,4.7,10,0.474,0.474,2.8,5,0.554,3.8,6.4,10.2,1.1,2.5,4.1,12.3
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NYA,ABA,,100,NA,30.8,5,10.7,0.471,0,0,0.5,5,10.6,0.471,0.471,3,5.1,0.584,4.1,6.9,11,1.1,2.8,3.9,13.1
1 season,NA,LAS,ABA,,58,NA,28.7,4.5,9.4,0.48,0,0,0,4.5,9.4,0.481,0.48,2.7,5.2,0.515,3.4,5.9,9.3,1,2.2,4.8,11.8
1 season,NA,TEX,ABA,,8,NA,19.9,2.8,5.9,0.468,0,0,NA,2.8,5.9,0.468,0.468,1,2.5,0.4,2.1,3.9,6,1,1.3,2.6,6.5
