Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,TRB,AST,PF,PTS
1948-49,24,CHS,BAA,SF,57,,,3.5,11.1,.317,2.3,3.5,.665,,1.7,3.5,9.3
1949-50,25,CHS,NBA,SF,68,,,4.1,11.4,.357,2.3,3.4,.687,,2.3,3.7,10.5
1950-51,26,Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL),Did Not Play (other pro league—NPBL)
1951-52,27,ROC,NBA,SF,66,,25.3,3.4,8.6,.395,1.8,2.3,.763,4.6,2.5,3.4,8.6
1952-53,28,ROC,NBA,SF,62,,22.8,3.2,8.0,.401,3.2,3.9,.819,4.0,1.8,3.7,9.6
1953-54,29,ROC,NBA,SF,72,,22.7,2.6,7.0,.364,2.5,3.3,.769,4.3,1.5,2.9,7.7
1954-55,30,ROC,NBA,SF,71,,26.6,3.2,8.2,.386,3.1,3.8,.812,4.2,2.1,3.5,9.5
1955-56,31,FTW,NBA,SF,72,,19.1,2.3,6.5,.355,2.2,2.8,.791,3.2,1.7,2.7,6.8
1956-57,32,TOT,NBA,SF,11,,10.7,1.1,3.5,.316,1.7,2.0,.864,1.4,0.6,2.2,3.9
1956-57,32,FTW,NBA,SF,,,,,,,,,,,,,
1956-57,32,STL,NBA,SF,,,,,,,,,,,,,
Career,NA,,TOT,,479,,22.9,3.1,8.5,.366,2.5,3.2,.763,4.0,1.9,3.3,8.7
,NA,,NBA,,422,,22.9,3.1,8.1,.375,2.5,3.2,.777,4.0,1.9,3.3,8.6
,NA,,BAA,,57,,,3.5,11.1,.317,2.3,3.5,.665,,1.7,3.5,9.3
,NA,,,,,,,,,,,,,,,,
4 seasons,NA,ROC,NBA,,271,,24.4,3.1,7.9,.387,2.6,3.3,.794,4.3,2.0,3.4,8.8
2 seasons,NA,CHS,BAA,,125,,,3.8,11.2,.339,2.3,3.4,.677,,2.0,3.6,9.9
2 seasons,NA,FTW,NBA,,72,,19.1,2.3,6.5,.355,2.2,2.8,.791,3.2,1.7,2.7,6.8
1 season,NA,STL,NBA,,,,,,,,,,,,,,
