Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6
Red Holzman,,2.5,0.8,0.8,0.1,-0.8,-1.5
Harold Ellis,32.1,2.8,0.9,0.9,NA,NA,NA
Von Wafer,30.8,2.6,1.1,0.4,0,-0.3,-0.5
Ian Clark,27.7,2.3,1.1,0.9,0.2,-0.1,-0.1
Glenn Robinson,27.1,2.5,0.8,0.7,0.6,0.1,NA
David Nwaba,25.6,2.4,1.4,0.8,NA,NA,NA
Johnny High,24.6,2.5,1.2,1.1,-0.1,NA,NA
Courtney Alexander,20.9,2.2,1.1,0.8,NA,NA,NA
Mike Holton,20.3,2.3,1.3,0.8,0.3,0.2,-0.2
Bo Lamar,19.8,2.5,1.5,1,0.5,NA,NA
Ralph Johnson,18.8,2.9,1.6,0.8,0,NA,NA
