Thru 7 Years,Thru 7 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Dave Piontek,,3.7,1.4,1.1,0.8,0.5,-0.1,-0.3
Jeff Turner,81.9,3.1,1.2,1.2,0.8,0.6,-0.2,-0.2
Darko Miličić,80.3,3.3,1.9,1.2,0.7,0.2,-0.2,-0.2
Lee Nailon,77.2,3.5,2.2,0.9,0.7,0.5,0.3,NA
John Trapp,77.2,3.3,1.2,1.2,0.6,0,NA,NA
Willie Reed,75.5,3.6,1.5,1.2,NA,NA,NA,NA
Ike Diogu,75.0,2.6,1.5,1,0.7,0.7,0,NA
Trey Lyles,75.0,3.9,2.3,1.2,0.8,NA,NA,NA
Barney Cable,74.3,3.3,1.6,0.7,0.4,0.3,0.1,NA
Simmie Hill,73.8,3.1,1.6,1.2,1,NA,NA,NA
Darren Daye,73.7,3.8,2.4,1.3,1.2,0.6,NA,NA
