Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1981-82,22,DAL,NBA,PF,81,2626,18.7,0.532,0.003,0.282,7.7,17.3,12.3,11.5,1.7,0.5,10.6,28.6,NA,3.6,2,5.6,0.102,NA,1.7,-1.2,0.5,1.6
1982-83,23,DAL,NBA,PF,81,2726,17.1,0.532,0.002,0.27,8.4,15.1,11.7,11.1,1.2,0.9,11.7,23.4,NA,4.8,1.2,6,0.105,NA,1.3,-1.5,-0.2,1.2
1983-84,24,DAL,NBA,SF,61,1421,12.1,0.499,0.002,0.371,6.6,13.5,10.1,11,1,0.4,14.4,23.1,NA,0.2,0.9,1.1,0.038,NA,-2.2,-1.8,-3.9,-0.7
1984-85,25,DAL,NBA,PF,79,2543,18,0.545,0.004,0.369,8.1,23.8,15.8,9.7,0.9,0.5,11.4,24.6,NA,4,2.6,6.5,0.123,NA,0.9,-1.2,-0.2,1.1
1985-86,26,DAL,NBA,PF,80,1994,16.4,0.532,0.003,0.298,6,14.1,10.2,13,1.6,0.6,12.2,24.2,NA,2.2,1.2,3.4,0.081,NA,0.1,-1.3,-1.2,0.4
1986-87,27,WSB,NBA,SF,51,1386,13.2,0.493,0.005,0.276,5.2,11,8,9.4,1.4,0.7,10.1,22.2,NA,0.7,1.2,1.9,0.067,NA,-1.5,-1,-2.5,-0.2
1987-88,28,DEN,NBA,SF,73,1755,15.6,0.518,0.004,0.3,4.6,14.3,9.2,11.7,1.2,0.8,11.2,27.1,NA,0.9,1.9,2.8,0.076,NA,-0.8,-1.2,-2,0
1988-89,29,TOT,NBA,SF,29,646,7,0.439,0.012,0.233,6.2,12.7,9.3,5.7,0.4,0.4,12.9,19.5,NA,-0.6,0.3,-0.3,-0.024,NA,-4.4,-2.4,-6.8,-0.8
1988-89,29,DEN,NBA,SF,5,95,4.7,0.381,0.053,0.237,2.1,18.4,9.8,6.4,0.5,0.6,10.6,18.9,NA,-0.2,0.1,-0.1,-0.056,NA,-6.5,-1.5,-8,-0.1
1988-89,29,SAS,NBA,SF,24,551,7.4,0.449,0.005,0.233,6.9,11.7,9.2,5.6,0.4,0.3,13.3,19.6,NA,-0.4,0.2,-0.2,-0.018,NA,-4,-2.6,-6.6,-0.6
1989-90,30,TOT,NBA,SF,41,459,11.8,0.523,0.011,0.268,5,10.2,7.7,5.8,2,0.6,13.9,22,NA,0.1,0.4,0.5,0.052,NA,-2.7,-0.9,-3.6,-0.2
1989-90,30,PHI,NBA,SF,17,259,13.2,0.511,0.01,0.352,5.7,10,7.9,4.5,1.9,0.5,10.3,22.1,NA,0.2,0.2,0.4,0.076,NA,-1.4,-0.8,-2.2,0
1989-90,30,LAL,NBA,SF,24,200,10.2,0.54,0.013,0.154,4.2,10.5,7.4,7.6,2,0.9,18.6,21.8,NA,-0.1,0.2,0.1,0.02,NA,-4.4,-1,-5.4,-0.2
Career,NA,,NBA,,576,15556,15.9,0.523,0.004,0.302,6.9,15.9,11.3,10.7,1.3,0.6,11.6,24.6,NA,15.7,11.8,27.5,0.085,NA,0,-1.3,-1.3,2.6
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,DAL,NBA,,382,11310,16.9,0.531,0.003,0.31,7.5,17.2,12.3,11.2,1.3,0.6,11.7,25,NA,14.6,7.9,22.6,0.096,NA,0.7,-1.4,-0.7,3.7
2 seasons,NA,DEN,NBA,,78,1850,15,0.513,0.006,0.297,4.5,14.5,9.3,11.4,1.2,0.8,11.2,26.7,NA,0.7,1.9,2.7,0.069,NA,-1,-1.2,-2.3,-0.1
1 season,NA,WSB,NBA,,51,1386,13.2,0.493,0.005,0.276,5.2,11,8,9.4,1.4,0.7,10.1,22.2,NA,0.7,1.2,1.9,0.067,NA,-1.5,-1,-2.5,-0.2
1 season,NA,LAL,NBA,,24,200,10.2,0.54,0.013,0.154,4.2,10.5,7.4,7.6,2,0.9,18.6,21.8,NA,-0.1,0.2,0.1,0.02,NA,-4.4,-1,-5.4,-0.2
1 season,NA,SAS,NBA,,24,551,7.4,0.449,0.005,0.233,6.9,11.7,9.2,5.6,0.4,0.3,13.3,19.6,NA,-0.4,0.2,-0.2,-0.018,NA,-4,-2.6,-6.6,-0.6
1 season,NA,PHI,NBA,,17,259,13.2,0.511,0.01,0.352,5.7,10,7.9,4.5,1.9,0.5,10.3,22.1,NA,0.2,0.2,0.4,0.076,NA,-1.4,-0.8,-2.2,0
