Season,Team,Lg,Salary
1984-85,Los Angeles Lakers,NBA,"$400,000"
1985-86,Los Angeles Lakers,NBA,"$550,000"
1987-88,Los Angeles Lakers,NBA,"$1,100,000"
1988-89,Los Angeles Lakers,NBA,"$1,300,000"
1989-90,Los Angeles Lakers,NBA,"$1,500,000"
1990-91,Los Angeles Lakers,NBA,"$1,600,000"
1991-92,Los Angeles Lakers,NBA,"$1,750,000"
1992-93,Los Angeles Lakers,NBA,"$1,850,000"
1993-94,Los Angeles Lakers,NBA,"$1,800,000"
Career,(may be incomplete),,"$11,850,000"
