Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Yi Jianlian,,1.3,0.7,0.7,0.4,0,NA,NA
Jarell Martin,91.1,1.3,0.8,0.6,0.5,NA,NA,NA
Ray Tolbert,87.8,1.1,0.8,0.7,0.3,0,NA,NA
Steve Green,83.6,1.2,1.1,0.7,0.4,NA,NA,NA
Chris Johnson,80.3,1.4,1.1,0.8,0.2,NA,NA,NA
Julian Wright,78.5,1.7,0.8,0.8,0.6,NA,NA,NA
Ben McDonald,77.8,1.3,0.7,0.3,0.2,NA,NA,NA
Josh Powell,77.7,1.1,0.7,0.6,0.3,0,0,-0.2
Calvin Garrett,76.8,1.4,0.6,0.6,0,NA,NA,NA
Bill Hosket,76.6,1,1,0.6,0.5,NA,NA,NA
Byron Houston,75.7,1.8,0.9,0.7,0.5,NA,NA,NA
