Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Larry Spriggs,,2.6,0.5,0.3,0.1,0
Gerard King,85.7,2.3,0.5,0.2,NA,NA
Dennis Hamilton,81.4,2.8,0.7,0.5,0,NA
J.J. Anderson,77.4,2.3,0.2,0.1,NA,NA
Bob Quick,76.2,2.6,0.8,0.6,0.3,NA
Kenny Fields,76.0,2.8,0.7,0.7,0,NA
Jeff Adrien,75.8,2.7,1,0.4,0.2,0.1
Dick Schulz,75.5,2.9,0.8,0.6,0,NA
Ryan Kelly,75.4,2.2,0.7,0.1,0.1,NA
Sean May,74.5,2.2,0.4,0.3,-0.3,NA
Bernard Thompson,72.5,2.1,0.9,0.2,0.1,0
