,,,,,,,Position Estimate,Position Estimate,Position Estimate,Position Estimate,Position Estimate,+/- Per 100 Poss.,+/- Per 100 Poss.,Turnovers,Turnovers,Fouls Committed,Fouls Committed,Fouls Drawn,Fouls Drawn,Misc.,Misc.,Misc.
Season,Age,Tm,Lg,Pos,G,MP,PG%,SG%,SF%,PF%,C%,OnCourt,On-Off,BadPass,LostBall,Shoot,Off.,Shoot,Off.,PGA,And1,Blkd
2000-01,22,LAL,NBA,SG,16,694,,74%,26%,,,+15.3,+14.2,18,19,20,9,60,0,219,8,29
2001-02,23,LAL,NBA,SG,19,833,,97%,3%,,,+4.0,+1.5,19,19,21,9,51,0,197,12,26
2002-03,24,LAL,NBA,SG,12,531,,65%,35%,,,+1.4,+17.4,19,10,9,8,43,0,137,9,25
2003-04,25,LAL,NBA,SG,22,973,,81%,19%,,,+2.4,+13.6,28,23,13,2,59,0,272,10,17
2005-06,27,LAL,NBA,SG,7,314,1%,92%,7%,,,-9.5,-17.0,18,5,5,8,9,0,83,2,4
2006-07,28,LAL,NBA,SG,5,215,2%,63%,36%,,,-10.1,+8.2,6,8,4,5,18,0,49,7,4
2007-08,29,LAL,NBA,SG,21,863,1%,97%,2%,,,+3.6,+8.9,33,20,26,12,65,6,263,16,18
2008-09,30,LAL,NBA,SG,23,940,1%,97%,2%,,,+9.7,+12.4,22,26,25,7,78,2,298,21,21
2009-10,31,LAL,NBA,SG,23,923,2%,83%,15%,,,+5.2,+7.6,35,28,29,11,68,6,285,12,23
2010-11,32,LAL,NBA,SG,10,354,,88%,12%,,,+0.6,+6.8,18,9,11,0,23,1,74,5,10
2011-12,33,LAL,NBA,SG,12,476,,88%,12%,,,-4.6,+0.5,12,17,11,4,35,4,117,7,19
Career,,,NBA,,170,7116,1%,86%,13%,,,+3.8,+8.3,228,184,174,75,509,19,1994,109,196
