Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
1967-68,23,LAL,NBA,SF,38,,11.4,1.4,3.1,.437,0.9,1.2,.761,,,2.2,1.3,,,1.4,3.7
1968-69,24,Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service)
1969-70,25,Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service),Did Not Play (military service)
1970-71,26,PHO,NBA,SG,70,,15.6,1.8,4.1,.431,1.2,1.4,.822,,,2.2,1.6,,,2.2,4.7
1971-72,27,PHO,NBA,SG,51,,8.2,0.6,1.6,.378,0.5,0.6,.800,,,1.3,1.1,,,1.4,1.7
1972-73,28,ATL,NBA,SG,28,,18.0,1.5,3.4,.447,0.5,0.6,.824,,,2.1,1.4,,,1.5,3.5
1973-74,29,ATL,NBA,SG,70,,17.6,1.5,3.6,.425,0.6,0.8,.719,0.6,1.9,2.4,2.0,1.0,0.3,2.1,3.6
1974-75,30,ATL,NBA,SG,63,,12.5,1.4,3.2,.426,1.1,1.2,.883,0.5,1.3,1.8,1.2,0.8,0.1,1.7,3.8
1975-76,31,PHO,NBA,SG,37,,6.7,0.6,1.2,.478,0.5,0.6,.833,0.2,0.8,1.0,0.5,0.2,0.1,0.8,1.7
Career,NA,,NBA,,357,,13.2,1.3,3.0,.429,0.8,1.0,.810,0.5,1.4,1.9,1.4,0.8,0.2,1.7,3.4
,NA,,,,,,,,,,,,,,,,,,,,
3 seasons,NA,ATL,NBA,,161,,15.7,1.5,3.4,.429,0.8,0.9,.815,0.5,1.6,2.1,1.6,0.9,0.2,1.8,3.7
3 seasons,NA,PHO,NBA,,158,,11.1,1.1,2.6,.425,0.8,1.0,.819,0.2,0.8,1.6,1.2,0.2,0.1,1.6,3.0
1 season,NA,LAL,NBA,,38,,11.4,1.4,3.1,.437,0.9,1.2,.761,,,2.2,1.3,,,1.4,3.7
