,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2004-05,20,BOS,NBA,PF,71,1051,.528,4.4,.992,.542,.333,.087,.030,.008,.533,.585,.504,.406,.273,.000,.585,.136,49,,.333,.000,1,0
2005-06,21,BOS,NBA,PF,59,1062,.499,4.2,.989,.565,.306,.095,.024,.011,.504,.598,.397,.306,.444,.000,.492,.079,29,,.000,,0,0
2006-07,22,BOS,NBA,C,69,2319,.514,5.5,.999,.422,.404,.120,.053,.001,.514,.645,.452,.321,.383,.000,.521,.076,65,,.000,,0,0
2007-08,23,MIN,NBA,C,82,2919,.500,6.9,.997,.350,.356,.206,.084,.003,.502,.669,.456,.380,.298,.000,.510,.076,97,,.000,,3,0
2008-09,24,MIN,NBA,C,50,1836,.497,7.1,.996,.381,.281,.210,.124,.004,.499,.628,.445,.410,.380,.000,.522,.042,37,,.000,,2,0
2009-10,25,MIN,NBA,C,76,2463,.498,7.8,.996,.313,.299,.288,.097,.004,.500,.679,.503,.358,.330,.000,.448,.038,39,,.000,,2,0
2010-11,26,UTA,NBA,C,82,2940,.496,8.1,1.000,.315,.332,.190,.163,.000,.496,.655,.441,.394,.419,,.584,.058,74,,,,0,0
2011-12,27,UTA,NBA,C,61,2075,.492,9.2,.996,.218,.364,.216,.199,.004,.493,.680,.491,.394,.402,.250,.522,.053,52,1.000,.000,,0,0
2012-13,28,UTA,NBA,C,78,2578,.494,10.2,.986,.241,.291,.169,.285,.014,.500,.718,.464,.416,.401,.118,.547,.059,65,1.000,.176,.000,3,0
2013-14,29,CHA,NBA,C,73,2553,.509,9.0,.989,.289,.305,.192,.203,.011,.512,.681,.514,.428,.348,.200,.611,.021,28,1.000,.067,.000,4,0
2014-15,30,CHO,NBA,C,65,1992,.481,8.2,.995,.282,.362,.218,.132,.005,.482,.639,.445,.391,.391,.400,.597,.015,15,.500,.200,1.000,0,0
2015-16,31,CHO,NBA,C,47,1096,.485,7.9,1.000,.271,.341,.250,.139,.000,.485,.642,.407,.405,.514,,.555,.028,13,,,,0,0
2016-17,32,IND,NBA,C,66,931,.499,7.6,.998,.289,.382,.214,.108,.002,.500,.662,.522,.327,.353,.000,.536,.021,10,,.000,,0,0
2017-18,33,IND,NBA,C,36,484,.534,8.3,.986,.284,.303,.226,.173,.014,.541,.576,.571,.617,.333,.000,.595,.043,9,,.000,,0,0
Career,,,NBA,,915,26299,.499,7.8,.995,.322,.332,.198,.143,.005,.501,.655,.469,.392,.382,.121,.543,.050,582,.875,.091,.167,15,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3 seasons,,UTA,NBA,,221,7593,.494,9.2,.994,.261,.327,.190,.215,.006,.496,.681,.464,.401,.406,.143,.553,.057,191,1.000,.143,.000,3,0
3 seasons,,MIN,NBA,,208,7218,.499,7.3,.996,.347,.317,.233,.099,.004,.501,.660,.467,.379,.336,.000,.494,.055,173,,.000,,7,0
3 seasons,,BOS,NBA,,199,4432,.513,4.9,.995,.482,.365,.107,.041,.005,.516,.617,.452,.333,.373,.000,.529,.090,143,,.125,.000,1,0
3 seasons,,"CHA,CHO",NBA,,185,5641,.495,8.5,.993,.284,.331,.211,.167,.007,.497,.660,.469,.410,.384,.250,.597,.020,56,.800,.100,.500,4,0
2 seasons,,IND,NBA,,102,1415,.510,7.8,.994,.287,.358,.218,.128,.006,.513,.636,.535,.419,.345,.000,.555,.028,19,,.000,,0,0
