Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2004-05,20,BOS,NBA,PF,71,1,14.8,2.7,5.2,0.528,0,0,0,2.7,5.2,0.533,0.528,1.2,1.9,0.63,1.7,2.7,4.4,0.3,0.3,0.8,0.9,2.7,6.7
2005-06,21,BOS,NBA,PF,59,7,18,3.2,6.4,0.499,0,0.1,0,3.2,6.4,0.504,0.499,1.5,2.3,0.642,1.6,3.4,5.1,0.5,0.5,0.8,1.1,2.8,7.9
2006-07,22,BOS,NBA,C,69,60,33.6,6.6,12.8,0.514,0,0,0,6.6,12.8,0.514,0.514,2.9,4.3,0.681,3.4,7.5,11,1.3,0.7,1.5,2,3.4,16
2007-08,23,MIN,NBA,C,82,82,35.6,8.8,17.6,0.5,0,0.1,0,8.8,17.5,0.502,0.5,3.5,4.8,0.721,3.8,7.4,11.1,1.4,0.9,1.5,2,2.7,21
2008-09,24,MIN,NBA,C,50,50,36.7,9.7,19.5,0.497,0,0.1,0,9.7,19.4,0.499,0.497,3.7,5,0.738,3.4,7.5,11,1.6,0.8,1.7,1.8,2.8,23.1
2009-10,25,MIN,NBA,C,76,76,32.4,7.4,14.8,0.498,0,0.1,0,7.4,14.8,0.5,0.498,2.4,3.5,0.68,2.4,6.9,9.3,1.8,0.8,1.3,1.8,2.7,17.1
2010-11,26,UTA,NBA,C,82,82,35.9,8,16.1,0.496,0,0,NA,8,16.1,0.496,0.496,2.7,3.5,0.761,2.9,6.8,9.7,1.8,0.6,1.9,1.3,2.9,18.6
2011-12,27,UTA,NBA,C,61,61,34,8.5,17.2,0.492,0,0.1,0.25,8.4,17.1,0.493,0.493,2.2,2.9,0.774,2.2,7.4,9.6,2.2,0.8,1.7,1,2.5,19.2
2012-13,28,UTA,NBA,C,78,78,33.1,7.8,15.8,0.494,0,0.2,0.118,7.8,15.6,0.5,0.495,2.1,2.8,0.77,2,7.2,9.2,2.1,1,1.1,1.3,2.2,17.8
2013-14,29,CHA,NBA,C,73,73,35,9.6,18.8,0.509,0,0.2,0.2,9.5,18.6,0.512,0.51,2.6,3.8,0.69,2.1,8.7,10.8,2.1,0.9,1.1,1.7,2.4,21.8
2014-15,30,CHO,NBA,C,65,61,30.6,7.5,15.5,0.481,0,0.1,0.4,7.4,15.5,0.482,0.482,1.7,2.5,0.655,1.5,6.9,8.4,1.7,0.7,1.3,1,2.1,16.6
2015-16,31,CHO,NBA,C,47,18,23.3,5.2,10.7,0.485,0,0,NA,5.2,10.7,0.485,0.485,1.5,2.4,0.649,1.2,5.2,6.4,1.5,0.6,0.9,0.7,2.5,12
2016-17,32,IND,NBA,C,66,1,14.1,3.6,7.1,0.499,0,0,0,3.6,7.1,0.5,0.499,1,1.3,0.765,1.1,3.1,4.2,0.9,0.3,0.2,0.5,1.9,8.1
2017-18,33,IND,NBA,C,36,1,13.4,3.1,5.8,0.534,0,0.1,0,3.1,5.7,0.541,0.534,0.8,1,0.833,0.8,3.1,4,0.8,0.4,0.6,0.6,1.8,7
Career,NA,,NBA,,915,651,28.7,6.7,13.5,0.499,0,0.1,0.121,6.7,13.4,0.501,0.499,2.2,3.1,0.711,2.2,6.2,8.4,1.5,0.7,1.2,1.3,2.6,15.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,UTA,NBA,,221,221,34.4,8.1,16.3,0.494,0,0.1,0.143,8,16.2,0.496,0.495,2.4,3.1,0.767,2.4,7.1,9.5,2,0.8,1.6,1.2,2.5,18.5
3 seasons,NA,MIN,NBA,,208,208,34.7,8.5,17,0.499,0,0.1,0,8.5,17,0.501,0.499,3.1,4.4,0.714,3.2,7.2,10.4,1.6,0.8,1.4,1.9,2.7,20.1
3 seasons,NA,BOS,NBA,,199,68,22.3,4.2,8.2,0.513,0,0,0,4.2,8.2,0.516,0.513,1.9,2.8,0.66,2.3,4.6,6.9,0.7,0.5,1,1.3,3,10.3
3 seasons,NA,"CHA,CHO",NBA,,185,152,30.5,7.7,15.6,0.495,0,0.1,0.25,7.7,15.5,0.497,0.496,2,3,0.671,1.7,7.2,8.9,1.8,0.8,1.1,1.2,2.3,17.5
2 seasons,NA,IND,NBA,,102,2,13.9,3.4,6.7,0.51,0,0,0,3.4,6.6,0.513,0.51,0.9,1.2,0.785,1,3.1,4.1,0.9,0.3,0.4,0.5,1.9,7.7
