,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,27,POR,NBA,PG,82,2655,.434,14.2,.766,.229,.113,.118,.306,.234,.453,.542,.387,.364,.444,.374,.346,.000,0,.805,.160,.371,0,0
2001-02,28,POR,NBA,PG,75,2796,.402,16.7,.679,.149,.102,.107,.320,.321,.425,.474,.330,.429,.432,.353,.426,.000,0,.692,.125,.378,3,0
2002-03,29,POR,NBA,PG,59,1315,.376,15.9,.725,.159,.128,.087,.352,.275,.372,.500,.321,.278,.356,.386,.384,.000,0,.886,.211,.375,0,0
2003-04,30,POR,NBA,PG,82,3118,.401,17.3,.581,.151,.083,.106,.241,.419,.426,.500,.345,.389,.424,.365,.341,.000,0,.801,.124,.302,1,0
2004-05,31,POR,NBA,PG,81,2762,.392,17.5,.579,.148,.072,.089,.270,.421,.409,.509,.357,.346,.389,.369,.362,.000,0,.829,.161,.392,1,0
2005-06,32,MEM,NBA,PG,27,862,.397,14.9,.638,.289,.049,.066,.233,.362,.426,.446,.143,.526,.433,.346,.192,.000,0,.833,.115,.417,0,0
2006-07,33,MEM,NBA,PG,62,1501,.391,17.3,.600,.156,.066,.117,.261,.400,.427,.397,.448,.412,.447,.337,.286,.000,0,.763,.120,.571,1,0
2007-08,34,TOT,NBA,PG,60,1037,.356,17.6,.558,.151,.071,.107,.228,.442,.372,.392,.500,.306,.351,.336,.186,.000,0,.860,.188,.464,1,0
2007-08,34,MEM,NBA,PG,29,624,.397,17.6,.515,.180,.041,.098,.196,.485,.410,.429,.500,.368,.395,.383,.146,.000,0,.889,.106,.600,0,0
2007-08,34,SAS,NBA,PG,31,413,.301,17.6,.615,.112,.112,.119,.273,.385,.330,.313,.500,.235,.308,.255,.241,.000,0,.786,.327,.389,1,0
Career,,,NBA,,528,16046,.399,16.5,.642,.172,.089,.102,.280,.358,.421,.489,.359,.377,.414,.361,.345,.000,0,.801,.146,.391,7,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5 seasons,,POR,NBA,,379,12646,.404,16.4,.653,.167,.095,.102,.289,.347,.423,.509,.352,.373,.414,.367,.369,.000,0,.797,.148,.364,5,0
3 seasons,,MEM,NBA,,118,2987,.394,16.6,.594,.203,.056,.097,.239,.406,.424,.425,.373,.427,.434,.351,.229,.000,0,.817,.115,.535,1,0
1 season,,SAS,NBA,,31,413,.301,17.6,.615,.112,.112,.119,.273,.385,.330,.313,.500,.235,.308,.255,.241,.000,0,.786,.327,.389,1,0
