Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,25,MEM,NBA,SF,4,0,17.3,1.5,3.8,0.4,0.8,1.8,0.429,0.8,2,0.375,0.5,1,1.5,0.667,1.5,1.5,3,0.3,0,0.3,1,4.3,4.8
2004-05,26,MEM,NBA,SG,4,4,29.8,3.3,7.8,0.419,0.3,1.8,0.143,3,6,0.5,0.435,0.5,1.3,0.4,2.5,4.3,6.8,1.5,0.5,1,1,3.5,7.3
2005-06,27,MEM,NBA,SF,4,4,32.3,2.5,5,0.5,0.5,1.8,0.286,2,3.3,0.615,0.55,0.5,1.5,0.333,1.8,4,5.8,0.5,1,0.5,2,4,6
2006-07,28,HOU,NBA,SF,7,7,38.9,3.3,7.3,0.451,2.7,6.1,0.442,0.6,1.1,0.5,0.637,1,1.1,0.875,0.4,2.1,2.6,2.1,1.7,1,1.1,2.9,10.3
2007-08,29,HOU,NBA,SF,6,6,41,3.3,7.5,0.444,2,4.2,0.48,1.3,3.3,0.4,0.578,1.3,1.8,0.727,1.2,2.7,3.8,0.5,1,0.8,1.3,3.2,10
2008-09,30,HOU,NBA,SG,13,13,38.2,2.5,6.2,0.407,1.3,4.2,0.315,1.2,2.1,0.593,0.512,1.7,1.8,0.957,1.6,3.3,4.9,2.4,1.1,0.7,1.2,2.5,8.1
2010-11,32,MEM,NBA,SF,13,0,26.1,2.2,5.1,0.439,0.6,2.2,0.276,1.6,2.8,0.568,0.5,0.5,0.7,0.667,1.3,2.7,4,1.2,0.5,0.5,0.5,2.1,5.5
2011-12,33,MIA,NBA,SF,23,16,33.4,2.3,6.1,0.379,1.8,4.8,0.382,0.5,1.3,0.367,0.529,0.6,0.7,0.813,0.7,2.6,3.2,1.2,1,0.6,0.7,3,7
2012-13,34,MIA,NBA,SF,22,0,17.8,1.2,4.2,0.29,1.2,4,0.295,0,0.2,0.2,0.43,1,1.3,0.821,0.4,1.3,1.7,0.5,0.2,0.3,0.2,2.2,4.7
2013-14,35,MIA,NBA,SF,16,6,12.6,0.8,1.6,0.462,0.6,1.3,0.45,0.2,0.4,0.5,0.635,0.3,0.3,0.8,0.1,0.6,0.6,0.3,0.3,0.1,0.3,1.4,2.3
Career,NA,,NBA,,112,56,27.1,2,5.1,0.398,1.2,3.5,0.356,0.8,1.6,0.489,0.52,0.8,1,0.778,0.9,2.2,3,1,0.7,0.5,0.7,2.6,6.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3 seasons,NA,MIA,NBA,,61,22,22.3,1.5,4.2,0.355,1.3,3.6,0.353,0.2,0.7,0.366,0.504,0.7,0.8,0.816,0.4,1.6,2,0.7,0.5,0.3,0.4,2.3,4.9
3 seasons,NA,HOU,NBA,,26,26,39,2.9,6.8,0.429,1.8,4.7,0.393,1.1,2.1,0.509,0.565,1.4,1.6,0.881,1.2,2.8,4,1.9,1.2,0.8,1.2,2.8,9.1
4 seasons,NA,MEM,NBA,,25,8,26.2,2.3,5.3,0.439,0.6,2,0.28,1.8,3.3,0.537,0.492,0.6,1,0.538,1.6,3,4.6,1,0.5,0.5,0.9,3,5.8
