Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1973-74,22,CAP,NBA,SG,49,NA,11.3,1.9,4.4,0.433,1.1,1.5,0.726,0.5,0.9,1.4,1.1,0.6,0,NA,1.3,4.9
1974-75,23,NOJ,NBA,PG,72,NA,26.4,4.3,9.4,0.452,2.7,3.5,0.768,1,1.7,2.7,2.5,0.9,0.1,NA,2.6,11.2
1975-76,24,NOJ,NBA,SG,66,NA,30.8,5,11.4,0.433,2.6,3.5,0.735,1.2,1.8,3.1,2.6,1.2,0.1,NA,2.2,12.5
1976-77,25,SAS,NBA,SG,4,NA,14.3,1.8,3.5,0.5,1,1.8,0.571,0.5,1.3,1.8,0.8,0.5,0,NA,2.3,4.5
1977-78,26,TOT,NBA,SG,33,NA,12.3,2.6,6.4,0.403,1.7,2.5,0.679,0.4,1.2,1.6,1,0.7,0.2,1.5,1,6.9
1977-78,26,KCK,NBA,SG,8,NA,6.6,0.4,1.8,0.214,1.1,1.4,0.818,0.1,0.3,0.4,0.6,0.3,0.1,1,0.6,1.9
1977-78,26,NJN,NBA,SG,25,NA,14.1,3.3,7.9,0.416,1.9,2.9,0.658,0.5,1.5,2,1.2,0.8,0.2,1.6,1.1,8.5
Career,NA,,NBA,,224,NA,22.1,3.7,8.4,0.437,2.1,2.9,0.738,0.9,1.5,2.4,1.9,0.9,0.1,1.5,2,9.4
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,NOJ,NBA,,138,NA,28.5,4.6,10.4,0.442,2.6,3.5,0.752,1.1,1.8,2.9,2.5,1.1,0.1,NA,2.4,11.8
1 season,NA,CAP,NBA,,49,NA,11.3,1.9,4.4,0.433,1.1,1.5,0.726,0.5,0.9,1.4,1.1,0.6,0,NA,1.3,4.9
1 season,NA,NJN,NBA,,25,NA,14.1,3.3,7.9,0.416,1.9,2.9,0.658,0.5,1.5,2,1.2,0.8,0.2,1.6,1.1,8.5
1 season,NA,KCK,NBA,,8,NA,6.6,0.4,1.8,0.214,1.1,1.4,0.818,0.1,0.3,0.4,0.6,0.3,0.1,1,0.6,1.9
1 season,NA,SAS,NBA,,4,NA,14.3,1.8,3.5,0.5,1,1.8,0.571,0.5,1.3,1.8,0.8,0.5,0,NA,2.3,4.5
