Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Glen Rice,,10.8,10.2,10,9.3,9,8.3,7.9,6.3,5.7,4.4,3.3,2.2,1.4,0,-0.1,NA
Bobby Jones,93.3,11,10.2,10.2,9.2,8.9,8.2,8.1,7.7,6.4,6,4.8,3.2,NA,NA,NA,NA
James Worthy,93.1,10.6,9.7,9.5,9.3,9,7.9,7.5,6.5,5.1,3.1,3,0.1,NA,NA,NA,NA
Lou Hudson,91.9,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8,NA,NA,NA
Anthony Mason,91.6,11.6,11.4,11.3,9.3,8.9,8.6,7.4,6.4,5.6,4.9,3.1,0.1,-0.1,NA,NA,NA
Shawn Kemp,90.2,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1,2,1.9,0.9,NA,NA
Ben Wallace,90.1,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2
Chris Webber,89.0,11,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4,3.6,3.4,3.4,1.9,1.1,0.1,NA
Carlos Boozer,88.2,10.2,9.9,9.9,9.4,7.6,5.9,5.8,5.7,4.1,3.5,3.4,2.6,2.2,NA,NA,NA
Billy Cunningham,88.1,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA,NA,NA,NA
Cliff Hagan,87.8,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,3,1.3,0.1,NA,NA,NA
