Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1972-73,22,SEA,NBA,PF,77,,12.1,1.7,3.6,.478,,,,1.7,3.6,.478,.478,0.5,1.2,.416,,,2.8,0.5,,,,2.1,3.9
1973-74,23,MMT,ABA,PF,3,,10.3,1.7,5.3,.313,0.0,0.0,,1.7,5.3,.313,.313,0.7,0.7,1.000,3.0,1.7,4.7,0.0,0.0,0.3,1.3,2.3,4.0
1974-75,24,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
1975-76,25,TOT,ABA,PF,23,,13.3,2.2,4.7,.459,0.0,0.0,,2.2,4.7,.459,.459,0.9,1.7,.553,1.3,1.3,2.6,0.1,0.2,0.2,1.0,2.3,5.3
1975-76,25,SDS,ABA,PF,10,,10.5,1.6,2.7,.593,0.0,0.0,,1.6,2.7,.593,.593,0.4,1.0,.400,0.7,1.5,2.2,0.0,0.4,0.2,1.1,2.2,3.6
1975-76,25,VIR,ABA,PF,13,,15.4,2.6,6.3,.415,0.0,0.0,,2.6,6.3,.415,.415,1.3,2.2,.607,1.7,1.2,2.8,0.2,0.1,0.2,1.0,2.5,6.5
Career,NA,,TOT,,103,,12.3,1.8,3.9,.467,0.0,0.0,,1.8,3.9,.467,.467,0.6,1.3,.465,1.5,1.3,2.8,0.4,0.2,0.2,1.1,2.2,4.2
,NA,,NBA,,77,,12.1,1.7,3.6,.478,,,,1.7,3.6,.478,.478,0.5,1.2,.416,,,2.8,0.5,,,,2.1,3.9
,NA,,ABA,,26,,12.9,2.1,4.8,.440,0.0,0.0,,2.1,4.8,.440,.440,0.9,1.5,.575,1.5,1.3,2.8,0.1,0.2,0.2,1.1,2.3,5.1
,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 season,NA,SEA,NBA,,77,,12.1,1.7,3.6,.478,,,,1.7,3.6,.478,.478,0.5,1.2,.416,,,2.8,0.5,,,,2.1,3.9
1 season,NA,VIR,ABA,,13,,15.4,2.6,6.3,.415,0.0,0.0,,2.6,6.3,.415,.415,1.3,2.2,.607,1.7,1.2,2.8,0.2,0.1,0.2,1.0,2.5,6.5
1 season,NA,SDS,ABA,,10,,10.5,1.6,2.7,.593,0.0,0.0,,1.6,2.7,.593,.593,0.4,1.0,.400,0.7,1.5,2.2,0.0,0.4,0.2,1.1,2.2,3.6
1 season,NA,MMT,ABA,,3,,10.3,1.7,5.3,.313,0.0,0.0,,1.7,5.3,.313,.313,0.7,0.7,1.000,3.0,1.7,4.7,0.0,0.0,0.3,1.3,2.3,4.0
