Thru 18 Years,Thru 18 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
Grant Hill,,14.6,11.7,10.7,10.2,7.3,6.6,5.9,5.5,5.4,5.3,5.1,4.4,2.5,1.7,1.6,1.2,0.3,-0.1
Chris Mullin,90.9,12.2,10.8,10.6,10.2,7.6,7.1,5.2,5.1,4.9,4.7,4.1,4,2.9,1.7,1.7,0.3,NA,NA
Amar'e Stoudemire,86.6,14.6,14.6,11.2,10.7,8,6.2,6.1,4.4,4.1,3.8,3.6,2.7,2.4,0.1,NA,NA,NA,NA
Ben Wallace,85.4,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,4.7,3.8,3.6,3.6,2.9,1.9,1.4,-0.2,NA,NA
Shawn Kemp,84.4,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1,2,1.9,0.9,NA,NA,NA,NA
Cliff Hagan,84.2,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,3,1.3,0.1,NA,NA,NA,NA,NA
Elton Brand,84.1,14.8,13.6,11.5,10.6,9.7,9.4,7.6,7.5,6.1,6.1,3.6,3.5,3.4,0.9,0.7,0.5,0.2,NA
Tracy McGrady,83.8,16.1,12.2,12,11.5,8.6,8.4,6.6,5.8,4.1,3.3,2.7,2.1,2,1.6,0.3,NA,NA,NA
Detlef Schrempf,83.3,12.9,10.4,10.4,9.8,9,8.4,8.2,8.1,8,5.8,5.2,4.4,4,3.6,0.8,0.5,NA,NA
Cedric Maxwell,83.1,12.2,11.7,11,9.1,6.6,6.4,5.4,5.4,4.6,4.2,2,NA,NA,NA,NA,NA,NA,NA
Elgin Baylor,83.0,14.8,14.4,11.5,9.8,8.5,8,7.9,7.8,7.2,6.2,4.9,2.6,0.5,0,NA,NA,NA,NA
