Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1983-84,21,POR,NBA,SG,82,3,1408,8.5,18.8,0.451,0,0.1,0.25,8.5,18.7,0.452,4.1,5.7,0.728,3.8,4.1,7.9,5.2,3.6,1,4.1,7,21.2,NA,102,105
1984-85,22,POR,NBA,SG,80,43,2555,10.4,21.1,0.494,0.1,0.7,0.216,10.3,20.4,0.503,4,5.3,0.759,3.9,4.7,8.6,8,3.2,1.2,4,4.8,25,NA,110,105
1985-86,23,POR,NBA,SG,75,58,2576,9.7,20.4,0.475,0.2,1.1,0.2,9.5,19.3,0.49,5.2,6.8,0.769,3,4.5,7.5,10.7,3.5,0.8,5,4.8,24.8,NA,107,106
1986-87,24,POR,NBA,SG,82,82,3114,10.4,20.7,0.502,0.2,0.7,0.234,10.2,20,0.511,5.2,6.9,0.76,3.3,4.3,7.6,8.3,3,1,3.7,4.1,26.2,NA,114,107
1987-88,25,POR,NBA,SG,81,80,3060,12.9,25.4,0.506,0.2,0.8,0.212,12.7,24.6,0.515,7.2,8.9,0.811,4,4.1,8.1,7.1,3.1,0.8,3.6,3.8,33.1,NA,118,106
1988-89,26,POR,NBA,SG,78,78,3064,12.5,25.2,0.496,0.4,1.6,0.26,12.1,23.6,0.511,6.6,8.3,0.799,4.4,4.9,9.3,6.8,3.2,0.8,3.8,4.1,32,NA,117,106
1989-90,27,POR,NBA,SG,73,73,2683,11.7,23.7,0.494,0.5,1.9,0.283,11.2,21.9,0.512,5.8,7.5,0.774,3.6,5.2,8.9,7.6,2.5,0.9,3.3,3.9,29.8,NA,117,103
1990-91,28,POR,NBA,SG,82,82,2852,10.8,22.4,0.482,1,3.2,0.319,9.8,19.2,0.509,7,8.8,0.794,3.5,5.6,9.1,8.3,2.4,1,3.9,3.8,29.6,NA,117,103
1991-92,29,POR,NBA,SG,76,76,2751,12.2,26,0.47,2,6,0.337,10.2,20.1,0.51,7.1,8.9,0.794,2.9,5.9,8.8,9,2.4,1.2,4.2,4,33.5,NA,117,103
1992-93,30,POR,NBA,SG,49,49,1671,10.1,23.7,0.429,0.9,3.9,0.233,9.3,19.8,0.467,7.1,8.5,0.839,3.7,5.3,9,8.1,2.8,1.1,3.3,4.6,28.3,NA,112,104
1993-94,31,POR,NBA,SG,68,68,2334,9.8,23,0.428,1.5,4.6,0.324,8.4,18.4,0.454,6,7.7,0.777,3.2,6.1,9.3,6.9,2,0.7,3.5,4.2,27.1,NA,110,105
1994-95,32,TOT,NBA,SG,76,75,2728,10.7,23.2,0.461,2.8,7.6,0.36,7.9,15.5,0.511,6.8,8.3,0.824,2.8,6.1,9,6.8,2.5,0.8,3.5,3.9,30.9,NA,119,106
1994-95,32,POR,NBA,SG,41,41,1428,10.9,25.5,0.428,3.1,8.6,0.363,7.8,16.9,0.462,7.4,8.9,0.835,3,5.4,8.4,7.5,2.7,0.8,3.5,4.2,32.4,NA,119,105
1994-95,32,HOU,NBA,SG,35,34,1300,10.4,20.6,0.506,2.4,6.6,0.357,8.1,14,0.575,6.2,7.6,0.809,2.7,7,9.6,6,2.4,0.9,3.5,3.5,29.4,NA,119,106
1995-96,33,HOU,NBA,SG,52,51,1997,8.5,19.7,0.433,2,6.1,0.332,6.5,13.6,0.478,6.8,8.7,0.784,2.5,7.1,9.6,7.8,2.7,0.6,3.5,3.9,25.9,NA,113,105
1996-97,34,HOU,NBA,SG,62,62,2271,9.2,20.7,0.442,2.7,7.7,0.355,6.4,13,0.493,4.6,6.2,0.75,2.7,5.9,8.6,8.2,2.7,0.8,3.6,3.5,25.7,NA,113,103
1997-98,35,HOU,NBA,SG,70,70,2473,9.6,22.6,0.427,2.3,7.1,0.317,7.4,15.5,0.477,5.9,7.4,0.801,2.2,5.1,7.4,8.1,2.7,0.9,4,4.1,27.5,NA,109,108
Career,NA,,NBA,,1086,950,37537,10.7,22.7,0.472,1.1,3.3,0.318,9.6,19.3,0.498,6,7.6,0.788,3.4,5.2,8.6,7.9,2.8,0.9,3.8,4.2,28.5,NA,114,105
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12 seasons,NA,POR,NBA,,867,733,29496,11,23.1,0.478,0.7,2.4,0.303,10.3,20.6,0.498,6.1,7.7,0.789,3.6,5,8.5,7.9,2.9,0.9,3.9,4.3,28.8,NA,114,105
4 seasons,NA,HOU,NBA,,219,217,8041,9.4,21,0.445,2.3,6.9,0.339,7,14.1,0.498,5.8,7.4,0.785,2.5,6.1,8.7,7.7,2.7,0.8,3.7,3.8,26.9,NA,113,106
