Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,20,CLE,NBA,C,18,1,109,5.9,14.1,0.414,0,0,NA,5.9,14.1,0.414,0.5,2.4,0.2,2.4,5.9,8.3,2.4,0.5,4.9,5.9,9.3,12.2,NA,67,107
2002-03,21,CLE,NBA,PF,80,1,943,2.9,8.3,0.351,0,0,NA,2.9,8.3,0.351,0.6,1.6,0.367,3.4,8.2,11.6,2.3,1.8,4.4,3,8,6.4,NA,74,102
2003-04,22,CLE,NBA,C,56,3,730,4.1,10.6,0.388,0,0,NA,4.1,10.6,0.388,0.9,1.4,0.6,5.2,9.2,14.4,2.5,1.9,3.7,2.1,8.4,9.1,NA,93,100
2004-05,23,CLE,NBA,C,39,0,306,3.5,12.1,0.29,0,0.3,0,3.5,11.7,0.299,0,0.9,0,5.2,7,12.2,2.6,1.4,4.7,2.1,9.3,7,NA,77,103
2005-06,24,DAL,NBA,C,81,45,1510,2.7,5.6,0.487,0,0.1,0.5,2.7,5.5,0.487,1.4,2.6,0.542,5.3,8.3,13.5,0.8,1.6,5.3,1.3,9.2,6.9,NA,116,100
2006-07,25,DAL,NBA,C,81,9,1480,2.6,5.5,0.47,0,0,0,2.6,5.4,0.473,1.7,3.1,0.558,6,9.9,15.9,1.1,1.4,4.1,2.3,8.8,6.9,NA,107,98
2007-08,26,TOT,NBA,C,79,23,1295,3.8,7.4,0.522,0,0,NA,3.8,7.4,0.522,1.6,2.9,0.543,6.5,9.5,16,1.6,1.1,3.6,2.4,6,9.2,NA,111,103
2007-08,26,DAL,NBA,C,52,18,894,4,6.8,0.583,0,0,NA,4,6.8,0.583,1.4,2.4,0.6,6.6,9.5,16.1,1.5,1.2,3.8,2.5,6,9.4,NA,116,102
2007-08,26,NJN,NBA,C,27,5,401,3.5,8.5,0.415,0,0,NA,3.5,8.5,0.415,1.8,3.9,0.467,6.4,9.6,16,1.8,0.8,3.3,2.1,6,8.9,NA,100,106
2008-09,27,TOT,NBA,C,75,1,1036,3.8,8.8,0.433,0,0,NA,3.8,8.8,0.433,1.1,3.4,0.333,5.9,8.2,14.1,1.7,1.5,2.9,2,6.6,8.8,NA,97,104
2008-09,27,DAL,NBA,C,34,0,452,2.6,6.7,0.379,0,0,NA,2.6,6.7,0.379,1.4,3.4,0.414,5.2,8.5,13.7,1.5,1.4,2.9,1.3,6.4,6.5,NA,102,106
2008-09,27,CHA,NBA,C,41,1,584,4.8,10.5,0.46,0,0,NA,4.8,10.5,0.46,0.9,3.4,0.27,6.4,8,14.4,1.8,1.6,2.9,2.6,6.8,10.6,NA,95,103
2009-10,28,CHA,NBA,C,27,0,262,3,5.9,0.517,0,0,NA,3,5.9,0.517,0.4,1.8,0.222,4.9,8.3,13.2,1,1,2.8,2.4,6.3,6.5,NA,94,101
2010-11,29,CHA,NBA,C,16,0,181,2.4,7.1,0.333,0,0,NA,2.4,7.1,0.333,1.2,3.3,0.364,3.5,8.3,11.8,2.1,1.2,4.4,3.3,7.7,5.9,NA,73,104
2011-12,30,CHA,NBA,C,27,9,325,2.4,6.8,0.357,0,0,NA,2.4,6.8,0.357,0.2,1,0.167,5.4,8.4,13.8,3.7,1,2.1,3.1,5.8,5,NA,81,109
2012-13,31,CHA,NBA,C,22,1,226,1.9,6.3,0.296,0,0.2,0,1.9,6,0.308,0,0.2,0,2.3,9.5,11.8,3,1.2,3.7,1.9,4.4,3.7,NA,74,108
Career,NA,,NBA,,601,93,8403,3.2,7.5,0.427,0,0,0.167,3.2,7.4,0.429,1.1,2.4,0.467,5.3,8.8,14.1,1.7,1.4,4,2.2,7.7,7.5,NA,97,102
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DAL,NBA,,248,72,4336,2.9,5.9,0.492,0,0,0.333,2.9,5.9,0.493,1.5,2.8,0.542,5.8,9.1,14.9,1.1,1.4,4.3,1.9,8.1,7.4,NA,111,100
4 seasons,NA,CLE,NBA,,193,5,2088,3.6,10,0.358,0,0,0,3.6,9.9,0.36,0.6,1.5,0.4,4.2,8.3,12.5,2.4,1.7,4.2,2.7,8.4,7.7,NA,80,102
5 seasons,NA,CHA,NBA,,133,11,1578,3.3,8,0.417,0,0,0,3.3,7.9,0.419,0.6,2.2,0.266,5,8.4,13.4,2.3,1.3,3,2.6,6.3,7.2,NA,87,105
1 season,NA,NJN,NBA,,27,5,401,3.5,8.5,0.415,0,0,NA,3.5,8.5,0.415,1.8,3.9,0.467,6.4,9.6,16,1.8,0.8,3.3,2.1,6,8.9,NA,100,106
