,,,,,,,,,,,,,,,,,,,,,2-Pt Field Goals,2-Pt Field Goals,2-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals,3-Pt Field Goals
,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,,Dunks,Dunks,,Corner,Corner,Heaves,Heaves
Season,Age,Tm,Lg,Pos,G,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3pt,3P,2P,0-3,3-10,10-16,16-3pt,3P,%Ast'd,%FGA,Md.,%Ast'd,%3PA,3P%,Att.,Md.
2000-01,24,SAS,NBA,PF,82,3174,.499,8.8,.981,.250,.341,.262,.127,.019,.504,.707,.452,.413,.430,.259,.528,.052,67,.857,.111,.000,1,0
2001-02,25,SAS,NBA,PF,82,3329,.508,7.6,.993,.311,.337,.256,.089,.007,.511,.714,.450,.405,.336,.100,.464,.071,102,1.000,.100,1.000,0,0
2002-03,26,SAS,NBA,PF,81,3181,.513,7.8,.984,.295,.369,.225,.096,.016,.517,.678,.476,.425,.396,.273,.475,.089,111,.667,.045,1.000,3,0
2003-04,27,SAS,NBA,PF,69,2527,.501,7.7,.990,.333,.317,.215,.125,.010,.505,.712,.420,.386,.372,.167,.532,.073,80,.500,.000,,0,0
2004-05,28,SAS,NBA,PF,66,2203,.496,8.2,.991,.286,.346,.203,.155,.009,.498,.674,.421,.420,.444,.333,.506,.062,56,1.000,.111,1.000,0,0
2005-06,29,SAS,NBA,PF,80,2784,.484,7.5,.996,.321,.362,.178,.135,.004,.485,.705,.399,.379,.331,.400,.500,.057,65,.500,.200,1.000,0,0
2006-07,30,SAS,NBA,C,80,2726,.546,6.6,.992,.395,.340,.161,.095,.008,.550,.700,.478,.434,.380,.111,.462,.047,40,.000,.222,.500,1,0
2007-08,31,SAS,NBA,C,78,2651,.497,7.2,.997,.340,.365,.171,.121,.003,.498,.696,.412,.353,.408,.000,.509,.037,43,,.250,.000,1,0
2008-09,32,SAS,NBA,C,75,2524,.504,8.0,.998,.313,.333,.182,.170,.002,.505,.637,.463,.418,.436,.000,.525,.025,26,,.000,,0,0
2009-10,33,SAS,NBA,C,78,2438,.518,8.3,.990,.303,.309,.238,.140,.010,.522,.680,.494,.426,.404,.182,.551,.032,33,1.000,.000,,1,0
2010-11,34,SAS,NBA,C,76,2156,.500,9.0,.995,.254,.347,.185,.209,.005,.502,.742,.433,.355,.457,.000,.585,.043,32,,.000,,0,0
2011-12,35,SAS,NBA,C,58,1634,.492,9.7,.995,.261,.278,.173,.282,.005,.495,.691,.353,.457,.478,.000,.615,.049,35,,.500,.000,0,0
2012-13,36,SAS,NBA,C,69,2078,.502,9.5,.993,.295,.246,.177,.275,.007,.504,.701,.417,.405,.433,.286,.666,.065,61,1.000,.571,.250,0,0
2013-14,37,SAS,NBA,C,74,2158,.490,9.0,.994,.321,.296,.111,.265,.006,.493,.670,.451,.386,.371,.000,.669,.046,38,,.000,,1,0
2014-15,38,SAS,NBA,C,77,2227,.512,7.4,.991,.350,.358,.138,.144,.009,.514,.714,.454,.327,.356,.286,.739,.057,42,1.000,.286,1.000,2,0
2015-16,39,SAS,NBA,C,61,1536,.488,7.2,.995,.324,.406,.088,.179,.005,.490,.671,.458,.385,.278,.000,.684,.011,4,,.000,,1,0
Career,,,NBA,,1186,39326,.504,8.1,.992,.309,.334,.195,.153,.008,.507,.694,.442,.403,.403,.200,.546,.054,835,.786,.129,.444,11,0
