Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
1997-98,21,SAS,NBA,PF,1,0,14:00,1,4,0.25,0,1,0,0,0,NA,1,11,1,0,0,2,0,2
1999-00,23,SAS,NBA,PF,1,1,33:00,12,14,0.857,0,0,NA,0,0,NA,7,14,4,1,1,2,3,24
2000-01,24,SAS,NBA,PF,1,1,28:00,5,11,0.455,0,0,NA,4,4,1,4,14,1,2,1,2,1,14
2001-02,25,SAS,NBA,PF,1,1,29:00,7,11,0.636,0,0,NA,0,0,NA,3,14,2,0,2,3,1,14
2002-03,26,SAS,NBA,PF,1,1,40:00,8,18,0.444,0,0,NA,3,3,1,5,15,4,1,0,3,2,19
2003-04,27,SAS,NBA,PF,1,1,26:02,6,11,0.545,0,0,NA,2,4,0.5,2,13,5,1,0,2,2,14
2004-05,28,SAS,NBA,PF,1,1,16:28,7,10,0.7,1,1,1,0,1,0,2,9,2,0,0,2,0,15
2005-06,29,SAS,NBA,PF,1,1,20:55,6,7,0.857,0,0,NA,3,3,1,6,10,1,1,1,5,2,15
2006-07,30,SAS,NBA,C,1,1,14:38,2,3,0.667,0,0,NA,0,0,NA,0,5,4,1,1,0,1,4
2007-08,31,SAS,NBA,C,1,1,22:23,2,7,0.286,0,1,0,0,0,NA,4,9,1,1,1,4,1,4
2008-09,32,SAS,NBA,C,1,1,18:01,3,5,0.6,0,0,NA,0,0,NA,0,3,2,1,1,2,1,6
2009-10,33,SAS,NBA,C,1,1,13:07,1,4,0.25,0,0,NA,1,2,0.5,1,4,0,2,0,3,1,3
2010-11,34,SAS,NBA,C,1,1,11:40,1,4,0.25,0,0,NA,0,0,NA,1,3,2,2,0,0,0,2
2012-13,36,SAS,NBA,C,1,0,8:03,1,4,0.25,0,1,0,0,0,NA,1,3,0,0,0,1,1,2
2014-15,38,SAS,NBA,C,1,0,15:14,1,2,0.5,0,0,NA,0,0,NA,1,9,2,0,0,0,0,2
Career,NA,,NBA,,15,12,311,63,115,0.548,1,4,0.25,13,17,0.765,38,136,31,13,8,31,16,140
