Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Aaron Gray,,1.4,1.3,1.1,0.9,0.8,0.5,0.1,NA,NA,NA,NA,NA
John Lambert,83.0,1.8,1.5,1,0.9,0.7,0.6,0.4,NA,NA,NA,NA,NA
Eric Leckner,80.4,1.7,1.5,0.9,0.9,0.9,0.2,0.2,-0.1,NA,NA,NA,NA
Jelani McCoy,72.1,1.5,1.4,1.1,1,0.1,0,0,0,NA,NA,NA,NA
Walt Davis,69.8,1.6,0.9,0.9,0.8,0.6,NA,NA,NA,NA,NA,NA,NA
Jawann Oldham,68.1,1.3,1.2,1,0.5,0.3,0,0,0,0,0,NA,NA
Greg Kite,67.1,2,1.4,0.8,0.7,0.6,0.3,0.1,0.1,0.1,0,-0.1,-0.3
Johan Petro,66.2,1.7,1,0.8,0.7,0.4,0.4,0.4,0.2,NA,NA,NA,NA
Dick Cunningham,65.2,1.2,1,1,1,0,0,0,NA,NA,NA,NA,NA
Rickey Brown,61.5,1.8,0.9,0.9,0.7,0.4,NA,NA,NA,NA,NA,NA,NA
Calvin Booth,60.2,2.2,2.1,1,0.8,0.6,0.5,0.4,0.3,0.1,0.1,NA,NA
