Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2010-11,30,IND,NBA,SG,5,0,14.4,1.4,4,0.35,0.6,2,0.3,0.8,2,0.4,0.425,1.6,2.4,0.667,0,1.2,1.2,1.6,0.8,0,0.2,0.6,5
2012-13,32,MIL,NBA,SF,4,0,22.8,4.3,7.5,0.567,1.8,4,0.438,2.5,3.5,0.714,0.683,2,2.3,0.889,0.8,3.3,4,2,0.5,0,0.8,1.3,12.3
2013-14,33,CHI,NBA,SF,5,5,32.6,5,10.6,0.472,2.4,5.2,0.462,2.6,5.4,0.481,0.585,0.8,1.2,0.667,1,2.6,3.6,2.4,0.6,0.2,1,1.4,13.2
2014-15,34,CHI,NBA,SF,12,12,32.4,3.6,7.3,0.489,2.3,4.7,0.482,1.3,2.7,0.5,0.642,1.5,1.6,0.947,0.6,3.4,4,2.6,0.8,0.4,1.3,2.6,10.9
2016-17,36,ATL,NBA,SF,6,0,8.8,0.5,1.2,0.429,0.3,0.8,0.4,0.2,0.3,0.5,0.571,0.7,0.7,1,0.2,0.7,0.8,0.3,0.2,0,1,0.5,2
Career,NA,,NBA,,32,17,24,3,6.2,0.48,1.6,3.5,0.451,1.4,2.7,0.518,0.609,1.3,1.6,0.84,0.5,2.4,2.9,1.9,0.6,0.2,0.9,1.5,8.8
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,CHI,NBA,,17,17,32.5,4,8.3,0.482,2.3,4.8,0.476,1.7,3.5,0.492,0.621,1.3,1.5,0.88,0.7,3.2,3.9,2.5,0.8,0.4,1.2,2.2,11.6
1 season,NA,ATL,NBA,,6,0,8.8,0.5,1.2,0.429,0.3,0.8,0.4,0.2,0.3,0.5,0.571,0.7,0.7,1,0.2,0.7,0.8,0.3,0.2,0,1,0.5,2
1 season,NA,IND,NBA,,5,0,14.4,1.4,4,0.35,0.6,2,0.3,0.8,2,0.4,0.425,1.6,2.4,0.667,0,1.2,1.2,1.6,0.8,0,0.2,0.6,5
1 season,NA,MIL,NBA,,4,0,22.8,4.3,7.5,0.567,1.8,4,0.438,2.5,3.5,0.714,0.683,2,2.3,0.889,0.8,3.3,4,2,0.5,0,0.8,1.3,12.3
