Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Adrian Griffin,,3.9,3.5,2.9,2.9,1.3,1.3,0.4,0.1,0,NA,NA
Mike Dunleavy,86.7,3.4,3.1,3,2.6,1.4,1.4,1,0.2,0.1,0,-0.1
Art Williams,86.0,4.4,3.4,3.1,2.8,2.7,1.2,0.1,0,NA,NA,NA
Kelvin Ransey,85.0,3.8,3.7,3.4,2.8,2.2,2,NA,NA,NA,NA,NA
Billy McKinney,84.4,3.4,3.3,3,2.7,2.3,0.9,0.1,NA,NA,NA,NA
Daniel Gibson,83.8,4.1,3.8,2.6,2.4,2,0.5,0.5,NA,NA,NA,NA
Whitey Skoog,83.6,4.1,3.6,2.9,1.9,1,0.7,NA,NA,NA,NA,NA
Jamaal Tinsley,83.5,4.4,3.7,2.8,2.8,1.7,0.9,0.8,0.7,0.1,-0.3,-0.3
T.J. Ford,83.2,4.3,4.3,3.3,2.5,1.4,0.7,0.2,0.2,NA,NA,NA
Devean George,83.1,4.2,3.4,2.7,2.6,2.1,1.3,0.7,0.7,0.6,0.3,-0.3
Rod Thorn,83.1,3.5,3.4,2.9,2.3,2.1,1.5,1.4,0.1,NA,NA,NA
