Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2006-07,23,DAL,NBA,PF,12,0,71,11,17,0.647,0,0,NA,11,17,0.647,0.647,7,18,0.389,9,12,21,0,1,0,9,8,29
2008-09,25,TOT,NBA,PF,22,0,283,39,103,0.379,0,2,0,39,101,0.386,0.379,33,48,0.688,55,58,113,6,9,5,19,43,111
2008-09,25,SAS,NBA,PF,3,0,20,5,7,0.714,0,0,NA,5,7,0.714,0.714,5,7,0.714,5,5,10,0,1,1,2,6,15
2008-09,25,TOR,NBA,PF,19,0,263,34,96,0.354,0,2,0,34,94,0.362,0.354,28,41,0.683,50,53,103,6,8,4,17,37,96
2009-10,26,TOT,NBA,PF,20,0,120,13,33,0.394,0,0,NA,13,33,0.394,0.394,13,24,0.542,16,19,35,3,4,9,10,20,39
2009-10,26,HOU,NBA,PF,4,0,13,1,4,0.25,0,0,NA,1,4,0.25,0.25,3,6,0.5,1,3,4,1,1,1,0,3,5
2009-10,26,TOR,NBA,PF,16,0,107,12,29,0.414,0,0,NA,12,29,0.414,0.414,10,18,0.556,15,16,31,2,3,8,10,17,34
2010-11,27,NOH,NBA,PF,7,0,35,1,3,0.333,0,0,NA,1,3,0.333,0.333,0,0,NA,3,8,11,2,0,0,2,11,2
Career,NA,,NBA,,61,0,509,64,156,0.41,0,2,0,64,154,0.416,0.41,53,90,0.589,83,97,180,11,14,14,40,82,181
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,TOR,NBA,,35,0,370,46,125,0.368,0,2,0,46,123,0.374,0.368,38,59,0.644,65,69,134,8,11,12,27,54,130
1 season,NA,DAL,NBA,,12,0,71,11,17,0.647,0,0,NA,11,17,0.647,0.647,7,18,0.389,9,12,21,0,1,0,9,8,29
1 season,NA,NOH,NBA,,7,0,35,1,3,0.333,0,0,NA,1,3,0.333,0.333,0,0,NA,3,8,11,2,0,0,2,11,2
1 season,NA,HOU,NBA,,4,0,13,1,4,0.25,0,0,NA,1,4,0.25,0.25,3,6,0.5,1,3,4,1,1,1,0,3,5
1 season,NA,SAS,NBA,,3,0,20,5,7,0.714,0,0,NA,5,7,0.714,0.714,5,7,0.714,5,5,10,0,1,1,2,6,15
