Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7
Chris Quinn,,2.6,2.1,0.6,0.1,0.1,-0.2,NA
Álex Abrines,84.4,2.2,2.1,0.6,NA,NA,NA,NA
Johnny McCarthy,84.4,2.6,1.9,0.5,0.2,-0.1,-0.4,NA
Travis Diener,81.4,2.5,1.9,0.7,0.6,0,NA,NA
Maurice McHartley,80.7,2.4,1.8,0.8,NA,NA,NA,NA
Rodney McGruder,80.2,2.9,1.9,0.8,NA,NA,NA,NA
Tex Ritter,80.0,2.4,2.3,1,NA,NA,NA,NA
Rodrigue Beaubois,79.3,2.2,2,0.4,0.2,NA,NA,NA
Shabazz Napier,77.3,3.2,2,0.6,0.5,0.1,NA,NA
James Robinson,76.7,2.3,1.9,1.2,0.2,0.2,0,-0.1
Jeff Judkins,76.5,3,1.8,0.7,0.6,0.2,NA,NA
