Thru 11 Years,Thru 11 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Derek Anderson,,9.9,8.1,5.3,5.3,3.6,3.3,2.9,2.1,1.6,1.3,0.3
Wesley Person,88.8,10.3,6.9,5.2,4,3.8,3.7,3.3,2.6,1.6,1.3,1.2
Avery Johnson,88.4,9.1,8,6.7,5.2,4.1,3.9,3.4,1.6,1.3,0.5,0.3
Jerry Stackhouse,87.8,9.2,7.3,6.5,5.8,4.7,3.5,2.4,2.1,1.9,1.2,0.2
Kenny Smith,86.7,9,8.2,6.1,6.1,5.1,4.1,2.9,2.6,2.2,0.6,NA
Steve Kerr,86.5,8.3,7.5,6.1,5.9,3.8,3.2,2.4,1.6,1.3,0.6,0.4
Eric Snow,85.3,8.4,6.1,5.5,5.5,3.8,3.8,2.1,1.9,1.9,1.3,0.5
Jay Humphries,85.2,8.6,7.6,5.8,4.9,4.8,4.5,3.5,2,1.9,1.8,-0.4
Phil Smith,85.2,9.4,7,6.3,5.2,4.8,2.9,2.2,1.7,1.6,NA,NA
Paul Pressey,84.7,9.8,9.6,7.1,5.5,4.8,3.8,3.2,3,2,0.3,0.1
John Wall,84.3,8.8,7.9,7.8,5.7,4.5,3.5,2.7,2.2,1.2,NA,NA
