Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
2011-12,20,CLE,NBA,PF,60,1424,13.3,0.469,0.005,0.434,14.4,16.8,15.5,3.3,1,3.3,13.3,19.2,NA,0.3,0.9,1.1,0.038,NA,-2.4,-2.3,-4.7,-1
2012-13,21,CLE,NBA,PF,82,2564,16.1,0.516,0.004,0.364,13.2,22.1,17.5,6.9,1.2,2.2,11.7,18.3,NA,3.2,2,5.2,0.098,NA,-0.2,-1.6,-1.8,0.1
2013-14,22,CLE,NBA,PF,82,2594,14.9,0.528,0.001,0.445,11.4,21.5,16.3,4.5,0.8,1.1,10.6,17.5,NA,3.4,2.3,5.7,0.106,NA,-0.6,-1.5,-2.1,-0.1
2014-15,23,CLE,NBA,PF,82,2194,15.6,0.58,0,0.508,14.5,19.7,17.2,2.7,0.8,2.2,12.2,14,NA,4.7,2.1,6.8,0.148,NA,0.1,-1.4,-1.2,0.4
2015-16,24,CLE,NBA,PF,82,2269,15.9,0.611,0,0.576,13.5,23.3,18.4,4,0.9,1.8,10.4,11.7,NA,5.6,3.1,8.7,0.185,NA,0.5,-0.3,0.2,1.2
2016-17,25,CLE,NBA,C,78,2336,15.3,0.594,0.007,0.487,13.9,19.6,16.9,4.6,0.8,2.9,10.8,11.3,NA,5,2.3,7.3,0.149,NA,0,-0.7,-0.7,0.7
2017-18,26,CLE,NBA,C,53,1072,13.6,0.569,0,0.336,13.4,23.3,18.4,4.3,0.7,1.3,11.8,12.6,NA,1.8,0.7,2.5,0.113,NA,-1,-1.9,-2.9,-0.2
2018-19,27,CLE,NBA,C,43,1198,18.4,0.551,0,0.279,15.4,25.7,20.3,11.2,1.2,1.2,12.1,17.7,NA,2.1,0.5,2.6,0.105,NA,1.4,-1.9,-0.5,0.4
2019-20,28,CLE,NBA,C,57,1721,16.8,0.54,0.041,0.286,14.5,22.9,18.6,10.5,0.9,2.5,14,18.3,NA,2,1.1,3.1,0.085,NA,-0.2,-1.3,-1.5,0.2
Career,NA,,NBA,,619,17372,15.6,0.546,0.007,0.414,13.6,21.5,17.5,5.5,0.9,2.1,11.8,15.5,NA,28,15,43.1,0.119,NA,-0.2,-1.3,-1.6,1.9
