Season,Team,Lg,Salary
2008-09,Phoenix Suns,NBA,"$1,700,000"
2009-10,Phoenix Suns,NBA,"$1,836,000"
2010-11,Houston Rockets,NBA,"$1,972,000"
2011-12,Houston Rockets,NBA,"$2,108,000"
2012-13,Phoenix Suns,NBA,"$7,500,000"
2013-14,Phoenix Suns,NBA,"$7,500,000"
2014-15,Miami Heat,NBA,"$7,500,000"
2015-16,Miami Heat,NBA,"$14,780,000"
2016-17,Miami Heat,NBA,"$15,890,000"
2017-18,Miami Heat,NBA,"$17,000,450"
2018-19,Miami Heat,NBA,"$18,109,175"
Career,(may be incomplete),,"$95,895,625"
