Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1988-89,25,CHI,NBA,PF,51,289,9.9,0.56,0,0.59,8.7,19.4,14.2,4.7,1.9,0,20.9,18.4,NA,0,0.3,0.4,0.064,NA,-5.2,-0.8,-6,-0.3
1989-90,26,TOT,NBA,PF,67,1084,8.5,0.449,0.003,0.36,10.7,19.4,14.8,3.5,0.8,0.7,15.2,17.6,NA,-0.6,0.9,0.3,0.013,NA,-5.1,-2,-7.1,-1.4
1989-90,26,CHI,NBA,PF,11,58,12.3,0.542,0,0.35,14.2,22.5,18.3,9.4,0,1.1,23.3,22.2,NA,0,0,0,0.04,NA,-2.7,-2.2,-4.9,0
1989-90,26,NJN,NBA,PF,56,1026,8.2,0.443,0.003,0.361,10.5,19.3,14.6,3.2,0.8,0.6,14.6,17.4,NA,-0.7,0.9,0.3,0.012,NA,-5.2,-2,-7.2,-1.4
1990-91,27,NJN,NBA,PF,78,1178,11.8,0.513,0,0.528,12,20,15.8,3.8,0.8,1,13,16.6,NA,0.9,1.3,2.2,0.09,NA,-3.1,-1.5,-4.6,-0.8
1991-92,28,LAL,NBA,C,49,394,3.6,0.393,0,0.345,8.8,18.8,13.7,2.5,0.9,1.2,20.5,13.5,NA,-0.7,0.4,-0.3,-0.034,NA,-8.2,-2.2,-10.4,-0.8
1993-94,30,SAS,NBA,PF,28,94,12.8,0.515,0,0.438,7.6,20.6,14.4,1.8,0,0,14.9,32,NA,0,0.1,0.1,0.054,NA,-6.7,-4,-10.7,-0.2
1994-95,31,SAS,NBA,PF,31,117,11.9,0.486,0.016,0.525,8.1,17.5,13.1,2.9,1.3,3,14.8,33.1,NA,-0.2,0.2,0,0.01,NA,-9,-1.3,-10.3,-0.2
1995-96,32,CHI,NBA,C,1,7,1.8,0.363,0,0.333,16.7,16.6,16.6,0,0,0,12.7,49.6,NA,0,0,0,-0.228,NA,-14.2,-8.2,-22.4,0
1996-97,33,NJN,NBA,C,20,74,19.6,0.441,0,0.514,17.9,29.5,23.4,11.6,0.7,1,4.2,27.3,NA,0.2,0.1,0.2,0.149,NA,-0.2,-3.3,-3.4,0
1997-98,34,NJN,NBA,C,16,51,7.2,0.404,0.056,1.167,10.7,24.2,17,0,0,1.5,12.8,26.6,NA,-0.1,0,0,-0.034,NA,-8,-4.2,-12.2,-0.1
Career,NA,,NBA,,341,3288,9.7,0.479,0.003,0.466,10.8,19.8,15.1,3.6,0.9,0.9,14.9,18.2,NA,-0.5,3.4,2.9,0.042,NA,-4.9,-1.8,-6.7,-3.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,NJN,NBA,,170,2329,10.4,0.476,0.003,0.468,11.5,20.1,15.6,3.7,0.8,0.9,13.3,17.5,NA,0.3,2.3,2.7,0.055,NA,-4.1,-1.8,-5.9,-2.3
3 seasons,NA,CHI,NBA,,63,354,10.2,0.546,0,0.529,9.7,19.8,14.9,5.3,1.5,0.2,21,19.7,NA,0,0.4,0.4,0.054,NA,-4.9,-1.2,-6.1,-0.4
2 seasons,NA,SAS,NBA,,59,211,12.3,0.499,0.009,0.486,7.9,18.9,13.7,2.4,0.7,1.6,14.8,32.6,NA,-0.2,0.3,0.1,0.029,NA,-8,-2.5,-10.5,-0.5
1 season,NA,LAL,NBA,,49,394,3.6,0.393,0,0.345,8.8,18.8,13.7,2.5,0.9,1.2,20.5,13.5,NA,-0.7,0.4,-0.3,-0.034,NA,-8.2,-2.2,-10.4,-0.8
