Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2001-02,20,UTA,NBA,SF,82,40,2151,7,15.7,0.45,0.6,2.5,0.25,6.4,13.2,0.488,7,9.2,0.768,3.7,6.3,9.9,2.3,2.9,3.9,2.7,3.9,21.8,NA,113,100
2002-03,21,UTA,NBA,SF,80,11,2213,7.7,15.6,0.491,0.9,2.8,0.325,6.8,12.8,0.527,7.2,9,0.8,3.6,6.6,10.2,3.4,2.9,4.3,3.3,4.5,23.4,NA,116,98
2003-04,22,UTA,NBA,PF,78,78,2895,7.9,17.8,0.443,1.3,3.8,0.338,6.6,14,0.471,7.5,9.5,0.79,4.3,7.7,12,4.7,2.9,4.1,4.1,3.3,24.6,NA,111,97
2004-05,23,UTA,NBA,PF,41,37,1349,8.3,16.9,0.493,0.9,3.1,0.299,7.4,13.8,0.536,8.2,10.4,0.784,3.6,6.7,10.3,5.3,2.7,5.5,3.6,4.1,25.8,NA,117,102
2005-06,24,UTA,NBA,SF,69,63,2604,7.1,15.3,0.46,0.8,2.5,0.308,6.3,12.9,0.489,7.3,10.4,0.699,3.4,8.2,11.6,6.3,2.1,4.6,4.3,3.4,22.1,NA,108,101
2006-07,25,UTA,NBA,SF,70,70,2049,5,10.7,0.471,0.4,1.9,0.213,4.6,8.8,0.528,4.5,6.1,0.728,2.3,6.2,8.4,5.2,1.9,3.7,3.5,4.4,14.9,NA,106,103
2007-08,26,UTA,NBA,SF,72,72,2217,6.4,12.6,0.506,1,2.7,0.379,5.4,9.9,0.54,4.6,6,0.77,2.8,5.1,7.9,6.6,2,2.5,3.3,3.8,18.4,NA,118,105
2008-09,27,UTA,NBA,PF,67,10,1831,7.2,16,0.449,0.6,2.1,0.274,6.6,14,0.475,6.9,8.8,0.785,2.4,6.6,9,4.9,2.3,2.2,3.4,3.6,21.8,NA,109,105
2009-10,28,UTA,NBA,SF,58,35,1681,7.4,14.7,0.506,0.8,2.7,0.292,6.6,12,0.555,5.3,7.1,0.744,2.3,5.7,8,4.8,2.5,2.2,2.4,3.1,20.9,NA,117,103
2010-11,29,UTA,NBA,SF,64,62,1999,6.7,14.3,0.467,0.9,2.6,0.367,5.7,11.7,0.489,5.5,7.1,0.77,2.6,6,8.6,5.1,2.1,2,3.1,3,19.8,NA,112,109
2012-13,31,MIN,NBA,SF,64,64,2034,7.2,14.2,0.507,0.9,3.1,0.292,6.3,11.2,0.566,4.8,6.4,0.752,2.6,6.6,9.2,4.5,2.4,1.6,3,2.1,20.1,NA,113,104
2013-14,32,BRK,NBA,PF,45,4,857,5,9.8,0.513,0.1,0.3,0.2,5,9.5,0.523,3.7,7.3,0.513,3.4,5.6,8.9,4.4,2.4,1.2,3.3,4,13.8,NA,103,107
2014-15,33,BRK,NBA,SF,7,0,36,0,7.2,0,0,0,NA,0,7.2,0,4.3,5.8,0.75,2.9,8.6,11.5,1.4,1.4,0,1.4,1.4,4.3,NA,65,108
Career,NA,,NBA,,797,546,23916,7,14.7,0.474,0.8,2.6,0.31,6.2,12.1,0.51,6.1,8.1,0.754,3.1,6.5,9.6,4.8,2.4,3.2,3.4,3.6,20.9,NA,112,103
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10 seasons,NA,UTA,NBA,,681,478,20989,7,15,0.47,0.8,2.7,0.312,6.2,12.3,0.505,6.4,8.4,0.763,3.1,6.6,9.7,4.9,2.4,3.5,3.4,3.7,21.3,NA,112,102
1 season,NA,MIN,NBA,,64,64,2034,7.2,14.2,0.507,0.9,3.1,0.292,6.3,11.2,0.566,4.8,6.4,0.752,2.6,6.6,9.2,4.5,2.4,1.6,3,2.1,20.1,NA,113,104
2 seasons,NA,BRK,NBA,,52,4,893,4.8,9.7,0.497,0.1,0.3,0.2,4.8,9.4,0.506,3.8,7.2,0.52,3.3,5.7,9,4.3,2.4,1.1,3.2,3.9,13.5,NA,102,107
