Thru 4 Years,Thru 4 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4
Sean Williams,,2.5,0.4,0.3,-0.2
Jack Haley,84.7,2.2,0.4,0.3,-0.3
Deyonta Davis,84.6,2.7,0.5,0.4,NA
George Johnson,80.8,2.4,0.3,0.2,0.1
Dave Hoppen,80.5,2.6,0.8,0.2,0
Bob Christian,76.4,2.4,0.9,0.5,0
Evan Eschmeyer,73.7,2.5,0.7,0.5,0.2
Michael Stewart,71.9,3,0.7,0.2,0.1
Alexis Ajinça,69.3,2.1,0.4,0,-0.1
Chris Anstey,68.5,1.9,0.6,0.3,NA
Ed Mikan,66.2,2.7,0.8,0.8,NA
