Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2009-10,20,OKC,NBA,SG,6,0,20,2,5.2,0.387,1,2.7,0.375,1,2.5,0.4,0.484,2.7,3.2,0.842,0.2,2.3,2.5,1.8,1,0.2,0.5,2.3,7.7
2010-11,21,OKC,NBA,SG,17,0,31.6,3.9,8.2,0.475,1.4,4.5,0.303,2.5,3.7,0.683,0.558,3.9,4.7,0.825,0.6,4.8,5.4,3.6,1.2,0.8,1.6,2.8,13
2011-12,22,OKC,NBA,SG,20,0,31.5,4.7,10.7,0.435,1.6,3.9,0.41,3.1,6.8,0.449,0.509,5.4,6.3,0.857,0.7,4.5,5.1,3.4,1.6,0.1,2.1,3.4,16.3
2012-13,23,HOU,NBA,SG,6,6,40.5,7.5,19.2,0.391,2.5,7.3,0.341,5,11.8,0.423,0.457,8.8,11,0.803,0.8,5.8,6.7,4.5,2,1,4.5,3,26.3
2013-14,24,HOU,NBA,SG,6,6,43.8,8.3,22.2,0.376,2.7,9,0.296,5.7,13.2,0.43,0.436,7.5,8.3,0.9,0.8,3.8,4.7,5.8,2,0.2,3.5,3.5,26.8
2014-15,25,HOU,NBA,SG,17,17,37.4,7.6,17.3,0.439,2.4,6.3,0.383,5.2,11,0.471,0.509,9.6,10.5,0.916,0.7,5,5.7,7.5,1.6,0.4,4.5,2.9,27.2
2015-16,26,HOU,NBA,SG,5,5,38.6,8.2,20,0.41,2.6,8.4,0.31,5.6,11.6,0.483,0.475,7.6,9,0.844,1.4,3.8,5.2,7.6,2.4,0.2,5.2,2.6,26.6
2016-17,27,HOU,NBA,PG,11,11,37,8.2,19.8,0.413,2.9,10.5,0.278,5.3,9.4,0.563,0.486,9.2,10.5,0.878,0.6,4.8,5.5,8.5,1.9,0.5,5.4,3.9,28.5
2017-18,28,HOU,NBA,SG,17,17,36.5,9.3,22.6,0.41,3.1,10.2,0.299,6.2,12.4,0.502,0.478,6.9,7.8,0.887,0.8,4.4,5.2,6.8,2.2,0.6,3.8,2.7,28.6
2018-19,29,HOU,NBA,PG,11,11,38.5,9.9,24,0.413,4.4,12.5,0.35,5.5,11.5,0.48,0.504,7.5,8.9,0.837,0.8,6.1,6.9,6.6,2.2,0.9,4.6,3.7,31.6
Career,NA,,NBA,,116,73,35.1,6.8,16.3,0.419,2.4,7.3,0.33,4.4,9.1,0.49,0.492,6.8,7.8,0.868,0.7,4.7,5.4,5.6,1.8,0.5,3.4,3.1,22.9
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,HOU,NBA,,73,73,38.2,8.5,20.7,0.412,3,9.2,0.322,5.5,11.5,0.484,0.484,8.2,9.4,0.876,0.8,4.9,5.7,7,2,0.6,4.5,3.2,28.2
3 seasons,NA,OKC,NBA,,43,0,29.9,4,8.9,0.445,1.4,4,0.359,2.6,5,0.514,0.525,4.4,5.2,0.844,0.6,4.3,4.8,3.3,1.3,0.4,1.7,3,13.8
