Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12
Kenny Thomas,,6.6,5.5,4.6,4.4,4.3,2.2,2.2,1.2,0.4,0.1,-0.3,NA
Roy Hinson,88.7,7.4,5,4.5,4.5,4.4,2.5,1.8,0.1,NA,NA,NA,NA
M.L. Carr,85.3,7.9,5.9,5.2,4.5,4.5,2.8,1.1,0.8,0.4,0.4,NA,NA
Mike Bantom,84.8,5.9,5.2,4.8,4.5,4.4,3.9,2.9,2.7,0.5,NA,NA,NA
Harrison Barnes,84.8,6.7,4.9,4.6,3.8,3.6,3.2,2.8,NA,NA,NA,NA,NA
Willie Naulls,84.8,5.7,5.5,5.3,4.6,3.9,2.6,2.6,1.8,1.8,0.4,NA,NA
Walter Simon,84.8,6.1,4.8,4.5,4.1,3.4,2.7,2,NA,NA,NA,NA,NA
Gus Johnson,84.7,7.2,5.9,5.3,5.1,5,3.5,2.2,1.6,0.9,0.1,NA,NA
Dave Gambee,84.5,7,5.3,5,4.6,3.3,2.7,2.2,1.9,1.6,1.4,0,NA
Loy Vaught,83.9,6.3,6.3,5.5,5.5,4.2,4.1,2.2,1,0.5,0.2,-0.2,NA
Ruben Patterson,83.6,6.7,5.6,5.5,5.4,3.4,3.2,3,2.1,0.2,0.1,NA,NA
