Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
John Johnson,,6.2,4.9,4.6,4.3,4,2.7,2.5,2.3,2.1,2.1,1.2,0.2,NA
Tom Van Arsdale,91.6,5.5,5,4.8,4.4,4,3.1,2.7,2.2,1.6,1.4,1.1,1,NA
Bingo Smith,89.9,6.1,4.2,4.2,3.7,3.3,2.5,2.4,2.1,2.1,1.6,1.1,NA,NA
Sam Mitchell,89.7,6.1,5.1,5.1,4.3,3.7,3.3,3,2.8,2.3,2.3,2.2,0.9,0.6
Matt Bonner,89.4,6.8,4.4,4.2,4.1,4,3.7,2.5,2.2,2.1,2,1.8,0.8,NA
Rodney Rogers,88.8,7.4,5.4,4.7,3.9,3.3,3.1,2.9,2.3,2.3,2,1.2,0.3,NA
Ray Scott,88.0,5.5,5.3,4.5,3.5,3.4,3,2.5,2.5,2.4,1.3,0.9,NA,NA
Walt Williams,88.0,5.4,5.1,5.1,4.4,3.7,3,2.5,2.2,1.7,1.6,-0.7,NA,NA
Harvey Grant,87.9,6.7,5,4.3,4,4,3.9,2.7,2.6,1.7,0.8,0.7,NA,NA
Glenn Robinson,87.2,6.7,4.8,4.7,4.7,4,3.5,3.2,3.1,2.9,1.6,0.5,NA,NA
Chris Morris,86.8,7.2,4.7,4.5,4,3.8,3.3,3.2,2.8,1.6,1.2,1,NA,NA
