Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Eddie Jordan,,4.1,2.4,1.9,0.7,0.6,-0.1,-0.8,NA,NA,NA
Pep Saul,82.5,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA
Sonny Hertzberg,81.6,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA
Johnny Neumann,79.7,4.6,2,1.6,0.8,0.6,0,-0.1,NA,NA,NA
Eddie Robinson,77.8,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA
Kent Bazemore,77.5,4.1,2.2,2.1,1.6,0.7,0.2,0.1,NA,NA,NA
Al Smith,77.5,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA
Ernie Beck,76.8,4.3,2.1,1.1,0.9,0.9,0.1,-0.4,NA,NA,NA
Roger Phegley,75.7,3.7,2.6,1.6,0.8,0,-0.1,NA,NA,NA,NA
Matthew Dellavedova,75.3,3.8,2.1,1.9,1.2,0.5,0.5,NA,NA,NA,NA
Ennis Whatley,74.1,3.3,2.2,1.9,0.8,0.7,0.6,0,0,0,0
