Thru 3 Years,Thru 3 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3
Bernard Robinson,,1.7,0.3,0.1
Kent Bazemore,92.0,1.6,0.2,0.1
Gary Phillips,90.3,1.7,0.3,0.2
E'Twaun Moore,87.3,1.7,0.2,0.2
Kevin Edwards,87.2,1.6,0.3,-0.2
Darrell Armstrong,86.2,1.8,0.1,0.1
Bobby Wilson,85.6,1.6,0.2,-0.1
Rickey Green,83.3,1.8,0.3,-0.1
Jason Hart,82.5,1.9,0.3,0
Keyon Dooling,80.7,1.4,0.3,0
Mike Evans,79.1,1.6,0.1,-0.1
