Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2005-06,21,NYK,NBA,PG,72,26,1544,230,565,0.407,58,146,0.397,172,419,0.411,0.458,152,202,0.752,56,111,167,147,59,1,114,201,670
2006-07,22,NYK,NBA,PG,64,5,1356,227,523,0.434,83,213,0.39,144,310,0.465,0.513,108,139,0.777,55,97,152,90,50,6,72,160,645
2007-08,23,NYK,NBA,PG,72,17,1883,331,782,0.423,97,292,0.332,234,490,0.478,0.485,154,196,0.786,51,171,222,212,60,1,103,186,913
2008-09,24,NYK,NBA,PG,74,11,2209,449,1028,0.437,125,385,0.325,324,643,0.504,0.498,249,296,0.841,98,192,290,301,95,6,139,206,1272
2009-10,25,TOT,NBA,PG,56,2,1115,215,493,0.436,87,223,0.39,128,270,0.474,0.524,50,67,0.746,28,82,110,163,49,5,73,116,567
2009-10,25,NYK,NBA,PG,30,2,733,152,336,0.452,51,136,0.375,101,200,0.505,0.528,42,54,0.778,23,49,72,112,27,5,53,66,397
2009-10,25,BOS,NBA,PG,26,0,382,63,157,0.401,36,87,0.414,27,70,0.386,0.516,8,13,0.615,5,33,38,51,22,0,20,50,170
2010-11,26,TOT,NBA,PG,59,11,1013,150,376,0.399,65,200,0.325,85,176,0.483,0.485,36,44,0.818,15,75,90,111,29,4,68,115,401
2010-11,26,BOS,NBA,PG,55,11,983,146,361,0.404,63,192,0.328,83,169,0.491,0.492,33,40,0.825,15,74,89,105,29,4,66,107,388
2010-11,26,OKC,NBA,PG,4,0,30,4,15,0.267,2,8,0.25,2,7,0.286,0.333,3,4,0.75,0,1,1,6,0,0,2,8,13
2011-12,27,GSW,NBA,PG,51,9,1192,205,484,0.424,66,181,0.365,139,303,0.459,0.492,94,113,0.832,15,85,100,231,59,2,75,118,570
2012-13,28,CHI,NBA,PG,82,23,2086,399,921,0.433,141,348,0.405,258,573,0.45,0.51,135,169,0.799,29,155,184,358,85,10,144,207,1074
2013-14,29,DEN,NBA,PG,44,1,866,164,383,0.428,58,154,0.377,106,229,0.463,0.504,71,85,0.835,21,60,81,112,36,4,58,92,457
2014-15,30,TOT,NBA,PG,42,1,591,88,255,0.345,31,112,0.277,57,143,0.399,0.406,31,46,0.674,17,33,50,97,20,3,30,76,238
2014-15,30,DEN,NBA,PG,33,1,465,71,204,0.348,24,92,0.261,47,112,0.42,0.407,26,40,0.65,14,25,39,77,14,3,22,68,192
2014-15,30,LAC,NBA,PG,9,0,126,17,51,0.333,7,20,0.35,10,31,0.323,0.402,5,6,0.833,3,8,11,20,6,0,8,8,46
2015-16,31,NOP,NBA,PG,2,1,23,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,4,1,0,0,5,0
Career,NA,,NBA,,618,107,13878,2458,5811,0.423,811,2255,0.36,1647,3556,0.463,0.493,1080,1357,0.796,385,1061,1446,1826,543,42,876,1482,6807
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5 seasons,NA,NYK,NBA,,312,61,7725,1389,3234,0.429,414,1172,0.353,975,2062,0.473,0.494,705,887,0.795,283,620,903,862,291,19,481,819,3897
1 season,NA,CHI,NBA,,82,23,2086,399,921,0.433,141,348,0.405,258,573,0.45,0.51,135,169,0.799,29,155,184,358,85,10,144,207,1074
2 seasons,NA,BOS,NBA,,81,11,1365,209,518,0.403,99,279,0.355,110,239,0.46,0.499,41,53,0.774,20,107,127,156,51,4,86,157,558
2 seasons,NA,DEN,NBA,,77,2,1331,235,587,0.4,82,246,0.333,153,341,0.449,0.47,97,125,0.776,35,85,120,189,50,7,80,160,649
1 season,NA,GSW,NBA,,51,9,1192,205,484,0.424,66,181,0.365,139,303,0.459,0.492,94,113,0.832,15,85,100,231,59,2,75,118,570
1 season,NA,LAC,NBA,,9,0,126,17,51,0.333,7,20,0.35,10,31,0.323,0.402,5,6,0.833,3,8,11,20,6,0,8,8,46
1 season,NA,OKC,NBA,,4,0,30,4,15,0.267,2,8,0.25,2,7,0.286,0.333,3,4,0.75,0,1,1,6,0,0,2,8,13
1 season,NA,NOP,NBA,,2,1,23,0,1,0,0,1,0,0,0,NA,0,0,0,NA,0,0,0,4,1,0,0,5,0
