Thru 13 Years,Thru 13 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11,12,13
Kiki Vandeweghe,,11,10.8,10.3,9.9,8.4,7.7,5.7,3.8,2.9,2,1.2,1.1,0.8
Lou Hudson,90.6,11.1,10.1,9.7,9.3,8.8,7.9,5.9,4.9,4.2,3.3,2.7,2.2,0.8
Chris Webber,89.4,11,10.7,9.3,8.6,8.3,7.8,6.9,4.4,4,3.6,3.4,1.9,1.1
Peja Stojaković,89.3,13.5,10.1,10.1,9.9,8.1,8,7.3,4.8,3.8,2.7,1.7,1.6,0.9
George McGinnis,89.2,11.6,11.4,10.1,8.6,8.5,7.9,7.1,5.3,1.9,1.7,0.4,NA,NA
Ben Wallace,88.3,11.6,10.6,10.2,10.1,8.5,8.2,7,5.6,3.8,3.6,3.6,2.9,-0.2
Rudy Tomjanovich,88.1,12.8,10.4,10.1,8.4,7.3,6.9,6.2,3.6,2.1,1.7,1,NA,NA
Cliff Hagan,87.7,11.8,11.7,10.8,10,8.5,7.1,6.5,6,4.7,3.7,3,1.3,0.1
Billy Cunningham,87.3,11.9,10.3,10,9,8.3,6.8,6.4,6.1,5,3.5,1.2,NA,NA
Blake Griffin,86.7,12.2,10.6,9.8,9.2,9,8,7.7,4.9,3.8,NA,NA,NA,NA
Shawn Kemp,86.5,11.7,11.2,10.6,10,9.1,6.8,6.7,6.3,6.1,4,2.1,1.9,0.9
