Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
1980-81,22,DEN,NBA,SF,51,1376,11.9,0.484,0.013,0.296,6.2,14,10,8.7,0.9,0.9,12.4,18.7,NA,0.7,0.5,1.2,0.04,NA,-1,-1.7,-2.7,-0.3
1981-82,23,DEN,NBA,PF,82,2775,18.9,0.612,0.01,0.321,5.9,11.7,8.9,11.9,0.8,0.5,11.6,22.3,NA,7.8,-0.1,7.7,0.133,NA,3.1,-2.5,0.6,1.8
1982-83,24,DEN,NBA,PF,82,2909,21.8,0.613,0.033,0.364,4.3,10.9,7.6,9.8,1,0.7,9,24.9,NA,10.5,0.6,11,0.182,NA,4.4,-2.1,2.4,3.2
1983-84,25,DEN,NBA,PF,78,2734,23.6,0.618,0.019,0.362,3.1,11.4,7.2,13.1,0.8,1,7.7,27.8,NA,9.7,0.6,10.3,0.181,NA,5.4,-1.8,3.6,3.9
1984-85,26,POR,NBA,SF,72,2502,18,0.603,0.028,0.356,3.3,6.9,5.1,6.2,0.7,0.5,8,23.1,NA,7.2,1.2,8.4,0.161,NA,2.5,-2.1,0.4,1.5
1985-86,27,POR,NBA,SF,79,2791,19.7,0.614,0.006,0.452,3.7,5,4.4,10.3,0.9,0.3,10,25.1,NA,9,0.9,9.9,0.169,NA,3.5,-2.1,1.4,2.4
1986-87,28,POR,NBA,SF,79,3029,19.2,0.597,0.052,0.341,3.3,6,4.6,11.1,0.8,0.3,7.3,24.8,NA,9.6,1.3,10.8,0.171,NA,3.4,-1.9,1.5,2.7
1987-88,29,POR,NBA,SF,37,1038,19.8,0.587,0.104,0.325,3.7,7.6,5.7,10.4,0.9,0.4,7,26,NA,3.1,0.7,3.8,0.176,NA,3.4,-1.7,1.7,1
1988-89,30,TOT,NBA,PF,45,934,13.7,0.536,0.113,0.209,3,5.4,4.2,10.3,0.9,0.7,8.1,20.9,NA,1.6,0.4,2,0.105,NA,0.1,-1.8,-1.7,0.1
1988-89,30,POR,NBA,PF,18,432,14.6,0.542,0.175,0.152,2.7,6.2,4.4,11.4,0.7,0.5,7.2,22.3,NA,0.8,0.2,1,0.112,NA,0.7,-2.3,-1.6,0.1
1988-89,30,NYK,NBA,PF,27,502,13,0.531,0.048,0.268,3.2,4.8,4,9.4,1.1,0.8,9,19.8,NA,0.8,0.2,1,0.099,NA,-0.5,-1.4,-1.9,0
1989-90,31,NYK,NBA,SF,22,563,12.5,0.512,0.082,0.208,3,7.3,5.2,10.6,1.3,0.3,9.3,20.5,NA,0.5,0.3,0.8,0.072,NA,-0.8,-1.7,-2.5,-0.1
1990-91,32,NYK,NBA,SF,75,2420,14.4,0.582,0.152,0.311,3.8,4.7,4.3,7.1,0.9,0.2,9.3,20.9,NA,4.5,1.1,5.7,0.112,NA,0.9,-1.8,-0.8,0.7
1991-92,33,NYK,NBA,SF,67,956,14.2,0.558,0.172,0.211,3.8,6.8,5.3,9.4,0.8,0.5,6.1,20.4,NA,1.9,0.9,2.9,0.144,NA,0.8,-0.1,0.6,0.6
1992-93,34,LAC,NBA,SF,41,494,13.8,0.547,0.182,0.325,2.7,8.2,5.4,7.1,1.3,0.9,7.9,21,NA,0.8,0.3,1.1,0.107,NA,-0.1,-0.8,-0.9,0.1
Career,NA,,NBA,,810,24521,18.4,0.594,0.051,0.342,4,8.3,6.1,9.9,0.9,0.5,8.9,23.6,NA,66.8,8.8,75.6,0.148,NA,2.7,-1.9,0.9,17.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4 seasons,NA,DEN,NBA,,293,9794,20.1,0.6,0.02,0.345,4.7,11.7,8.2,11.2,0.9,0.7,9.7,24.1,NA,28.6,1.6,30.2,0.148,NA,3.6,-2.1,1.5,8.7
5 seasons,NA,POR,NBA,,285,9792,18.9,0.6,0.045,0.365,3.4,6.1,4.8,9.5,0.8,0.4,8.2,24.5,NA,29.7,4.2,33.9,0.166,NA,3.1,-2,1.1,7.7
4 seasons,NA,NYK,NBA,,191,4441,14,0.562,0.135,0.27,3.6,5.5,4.6,8.3,0.9,0.4,8.6,20.6,NA,7.8,2.6,10.4,0.113,NA,0.5,-1.4,-0.9,1.3
1 season,NA,LAC,NBA,,41,494,13.8,0.547,0.182,0.325,2.7,8.2,5.4,7.1,1.3,0.9,7.9,21,NA,0.8,0.3,1.1,0.107,NA,-0.1,-0.8,-0.9,0.1
