Thru 10 Years,Thru 10 Years,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10
Matt Carroll,,4.6,3,2.6,0.8,0.7,0,0,-0.1,-0.1,-0.6
Al Smith,83.5,4.5,3.3,1.8,0.9,0.6,NA,NA,NA,NA,NA
Lee Winfield,82.1,4.5,2.8,2.4,1.6,0.5,0.4,-0.1,NA,NA,NA
Eddie Robinson,80.7,4,3,2.2,0.8,0.2,NA,NA,NA,NA,NA
Armond Hill,80.5,4.2,2.6,2.5,1,0.8,0.5,0,-0.4,NA,NA
Slick Watts,79.7,4.7,3.3,2.7,1.2,1.2,0.8,NA,NA,NA,NA
Paul Hoffman,79.0,4.7,4.1,2.2,1.1,0.8,NA,NA,NA,NA,NA
Pep Saul,78.4,4.2,2.8,1.5,0.8,0.6,NA,NA,NA,NA,NA
Sonny Hertzberg,77.6,4,2.5,2.3,1.4,0.7,NA,NA,NA,NA,NA
Jaren Jackson,77.5,4.1,3.1,2.1,1.6,0.4,0.1,0,0,0,-0.1
Elliot Perry,76.6,5.2,3.2,3.1,1.3,0.9,0.6,0.3,-0.1,-0.1,-0.4
