Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5
Mario Bennett,,1.5,0.5,0,-0.1,NA
Chris Singleton,85.1,1.5,0.5,0.2,NA,NA
Red Morrison,83.9,1.7,0.5,0,NA,NA
Adrian Branch,83.6,1.5,0.7,0,-0.1,NA
C.J. Kupec,83.3,1.5,0.5,-0.2,NA,NA
Roy Rogers,81.0,1.4,0.4,-0.1,NA,NA
Lou Tsioropoulos,80.9,1.4,0.7,0,NA,NA
Perry Jones,80.3,1.5,0.2,0,NA,NA
Bob McCann,78.1,1.3,0.6,0.1,0.1,0
Kevin Loder,77.3,1.5,0.9,0.1,NA,NA
Ron Riley,76.2,1.6,0.7,0.2,0,NA
