Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8
Antonio Harvey,,0.4,0.2,0.2,0.1,0,0,-0.2,-0.3
Adrian Caldwell,27.0,0.4,0.3,0.2,0.1,0,0,NA,NA
Jamal Sampson,4.9,0.5,0.4,0.2,0.2,0,NA,NA,NA
Bill Curley,-4.8,0.7,0.5,0.2,0.2,0,NA,NA,NA
Bob Thornton,-5.6,0.9,0.4,0.3,0.1,0,0,-0.2,-0.3
Mark Randall,-6.0,0.5,0.3,0.2,0,NA,NA,NA,NA
Obinna Ekezie,-8.8,0.7,0.5,0.4,0.2,NA,NA,NA,NA
Anthony Cook,-14.7,0.5,0.4,0.1,0.1,NA,NA,NA,NA
Roderick McDonald,-15.4,0.5,0.5,0.2,NA,NA,NA,NA,NA
Alex Poythress,-15.6,0.5,0.3,0.1,NA,NA,NA,NA,NA
Hank McDowell,-19.1,0.7,0.4,0.4,0.2,0.2,0.1,NA,NA
