Season,Team,Lg,Salary
1990-91,Houston Rockets,NBA,"$120,000"
1991-92,Houston Rockets,NBA,"$275,000"
1992-93,Houston Rockets,NBA,"$500,000"
1993-94,Houston Rockets,NBA,"$650,000"
1995-96,Atlanta Hawks,NBA,"$225,000"
1996-97,Houston Rockets,NBA,"$247,500"
1997-98,Houston Rockets,NBA,"$326,700"
1999-00,Houston Rockets,NBA,"$1,333,333"
2000-01,Houston Rockets,NBA,"$2,100,000"
2001-02,Charlotte Hornets,NBA,"$1,300,000"
2002-03,New Orleans Hornets,NBA,"$1,430,000"
Career,(may be incomplete),,"$8,507,533"
