Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1982-83,21,SDC,NBA,PF,70,69,2531,684,1309,0.523,0,1,0,684,1308,0.523,0.523,292,412,0.709,303,441,744,177,129,62,204,294,1660
1983-84,22,SDC,NBA,PF,81,80,2907,737,1491,0.494,0,3,0,737,1488,0.495,0.494,380,528,0.72,323,454,777,139,92,57,218,298,1854
1984-85,23,MIL,NBA,PF,79,78,2722,759,1532,0.495,0,1,0,759,1531,0.496,0.495,343,463,0.741,244,472,716,228,117,67,190,264,1861
1985-86,24,MIL,NBA,PF,82,82,2669,681,1438,0.474,0,2,0,681,1436,0.474,0.474,265,404,0.656,222,472,694,193,121,51,191,283,1627
1986-87,25,MIL,NBA,PF,82,77,2770,729,1426,0.511,0,3,0,729,1423,0.512,0.511,249,376,0.662,214,486,700,229,129,81,172,296,1707
1987-88,26,MIL,NBA,PF,76,76,2629,675,1392,0.485,1,3,0.333,674,1389,0.485,0.485,270,406,0.665,184,369,553,181,78,46,170,274,1621
1988-89,27,MIL,NBA,SF,80,78,2824,730,1563,0.467,7,15,0.467,723,1548,0.467,0.469,362,460,0.787,281,369,650,198,106,72,201,265,1829
1989-90,28,SAS,NBA,PF,81,78,2821,728,1532,0.475,19,59,0.322,709,1473,0.481,0.481,343,440,0.78,226,451,677,219,110,52,202,286,1818
1990-91,29,SAS,NBA,PF,67,62,2195,503,1039,0.484,7,33,0.212,496,1006,0.493,0.487,164,240,0.683,194,327,521,157,61,30,131,225,1177
1991-92,30,SAS,NBA,PF,70,67,2149,514,1053,0.488,5,13,0.385,509,1040,0.489,0.491,177,249,0.711,247,384,631,102,58,34,115,210,1210
1992-93,31,SAS,NBA,PF,8,0,76,11,29,0.379,0,0,NA,11,29,0.379,0.379,5,10,0.5,6,13,19,4,1,1,2,17,27
1993-94,32,SAS,NBA,PF,59,29,1133,183,428,0.428,0,2,0,183,426,0.43,0.428,63,107,0.589,132,165,297,50,31,13,59,137,429
1994-95,33,SAS,NBA,PF,76,20,1273,224,464,0.483,0,0,NA,224,464,0.483,0.483,72,123,0.585,138,240,378,59,36,19,95,188,520
1995-96,34,MIL,NBA,PF,81,13,1777,270,584,0.462,1,7,0.143,269,577,0.466,0.463,104,160,0.65,162,283,445,89,56,30,69,263,645
1996-97,35,SEA,NBA,PF,45,3,828,155,319,0.486,3,5,0.6,152,314,0.484,0.491,57,82,0.695,70,113,183,39,33,7,45,113,370
1997-98,36,TOT,NBA,PF,74,3,1185,200,428,0.467,0,1,0,200,427,0.468,0.467,67,98,0.684,97,186,283,47,38,10,51,181,467
1997-98,36,PHI,NBA,PF,44,2,656,97,212,0.458,0,1,0,97,211,0.46,0.458,39,58,0.672,55,93,148,21,22,5,17,102,233
1997-98,36,NYK,NBA,PF,30,1,529,103,216,0.477,0,0,NA,103,216,0.477,0.477,28,40,0.7,42,93,135,26,16,5,34,79,234
1998-99,37,GSW,NBA,PF,50,0,1011,186,424,0.439,1,1,1,185,423,0.437,0.44,81,114,0.711,95,160,255,58,46,10,58,168,454
1999-00,38,GSW,NBA,PF,22,0,398,76,177,0.429,0,0,NA,76,177,0.429,0.429,32,39,0.821,45,62,107,21,13,8,27,74,184
Career,NA,,NBA,,1183,815,33898,8045,16628,0.484,44,149,0.295,8001,16479,0.486,0.485,3326,4711,0.706,3183,5447,8630,2190,1255,650,2200,3836,19460
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6 seasons,NA,MIL,NBA,,480,404,15391,3844,7935,0.484,9,31,0.29,3835,7904,0.485,0.485,1593,2269,0.702,1307,2451,3758,1118,607,347,993,1645,9290
6 seasons,NA,SAS,NBA,,361,256,9647,2163,4545,0.476,31,107,0.29,2132,4438,0.48,0.479,824,1169,0.705,943,1580,2523,591,297,149,604,1063,5181
2 seasons,NA,SDC,NBA,,151,149,5438,1421,2800,0.508,0,4,0,1421,2796,0.508,0.508,672,940,0.715,626,895,1521,316,221,119,422,592,3514
2 seasons,NA,GSW,NBA,,72,0,1409,262,601,0.436,1,1,1,261,600,0.435,0.437,113,153,0.739,140,222,362,79,59,18,85,242,638
1 season,NA,SEA,NBA,,45,3,828,155,319,0.486,3,5,0.6,152,314,0.484,0.491,57,82,0.695,70,113,183,39,33,7,45,113,370
1 season,NA,PHI,NBA,,44,2,656,97,212,0.458,0,1,0,97,211,0.46,0.458,39,58,0.672,55,93,148,21,22,5,17,102,233
1 season,NA,NYK,NBA,,30,1,529,103,216,0.477,0,0,NA,103,216,0.477,0.477,28,40,0.7,42,93,135,26,16,5,34,79,234
