Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
1967-68,22,OAK,ABA,PG,77,NA,24.6,3.6,9.8,0.369,0.1,0.6,0.205,3.5,9.2,0.379,0.375,2.1,2.9,0.724,NA,NA,2.2,1.5,1.6,2.5,9.5
1968-69,23,TOT,ABA,SG,36,NA,20.6,3.4,7.6,0.452,0,0.2,0,3.4,7.4,0.462,0.452,2.7,3.4,0.797,1.4,1.5,2.9,1.3,1.5,2.1,9.6
1968-69,23,OAK,ABA,,3,NA,8,1.7,3,0.556,0,0,NA,1.7,3,0.556,0.556,0.7,1,0.667,1,0.3,1.3,1,0.7,1.7,4
1968-69,23,MMF,ABA,SG,33,NA,21.8,3.6,8,0.449,0,0.2,0,3.6,7.8,0.459,0.449,2.9,3.6,0.8,1.5,1.6,3.1,1.3,1.5,2.2,10.1
1969-70,24,TOT,ABA,SG,81,NA,26.5,5,11.5,0.431,0,0.2,0.077,4.9,11.3,0.436,0.432,2.5,3.3,0.761,1.7,1.4,3.1,2,1.8,2.4,12.4
1969-70,24,MMF,ABA,SG,32,NA,19.3,3.4,7.9,0.431,0,0.1,0,3.4,7.8,0.434,0.431,2.8,3.5,0.788,0.9,0.8,1.8,1.2,1.7,2.3,9.6
1969-70,24,LAS,ABA,SG,49,NA,31.3,6,13.8,0.431,0,0.2,0.091,5.9,13.6,0.437,0.432,2.3,3.2,0.742,2.2,1.8,4.1,2.6,1.8,2.5,14.3
Career,NA,,ABA,,194,NA,24.7,4.1,10.1,0.41,0.1,0.3,0.159,4.1,9.8,0.418,0.413,2.4,3.2,0.755,1.6,1.4,2.7,1.7,1.6,2.4,10.7
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2 seasons,NA,OAK,ABA,,80,NA,24,3.6,9.6,0.371,0.1,0.6,0.205,3.4,9,0.381,0.377,2.1,2.9,0.724,1,0.3,2.1,1.5,1.5,2.4,9.3
2 seasons,NA,MMF,ABA,,65,NA,20.5,3.5,7.9,0.44,0,0.1,0,3.5,7.8,0.447,0.44,2.8,3.6,0.794,1.2,1.2,2.4,1.2,1.6,2.2,9.8
1 season,NA,LAS,ABA,,49,NA,31.3,6,13.8,0.431,0,0.2,0.091,5.9,13.6,0.437,0.432,2.3,3.2,0.742,2.2,1.8,4.1,2.6,1.8,2.5,14.3
