Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
2003-04,23,DAL,NBA,SF,67,29,1589,5.2,12.1,0.43,0.5,1.5,0.303,4.7,10.6,0.448,2.2,3.1,0.703,3.4,5,8.3,2.2,1.6,1.2,1.5,3.8,13
2004-05,24,DAL,NBA,SF,76,76,2446,5.5,11.7,0.475,0.5,1.7,0.296,5,10,0.506,2.5,3.4,0.733,2.5,4.6,7.1,1.6,1.7,0.7,1.8,3.1,14.1
2005-06,25,DAL,NBA,SF,59,58,1915,6.6,14,0.471,0.5,1.2,0.429,6.1,12.8,0.475,3.7,5,0.734,2.3,4.7,7,2.1,1.3,0.5,1.5,3.1,17.4
2006-07,26,DAL,NBA,SF,70,69,2455,7.2,15.8,0.459,1.3,3.5,0.385,5.9,12.3,0.48,3.6,4.3,0.827,1.9,5.1,7,1.9,1.2,0.8,1.8,2.6,19.4
2007-08,27,DAL,NBA,SF,76,76,2757,7.4,16.3,0.455,0.9,2.7,0.319,6.5,13.5,0.482,4.1,5,0.813,1.6,5.4,6.9,2.1,0.8,0.4,1.5,2.6,19.8
2008-09,28,DAL,NBA,SF,52,51,1663,7.6,17,0.451,1.3,3.6,0.345,6.4,13.3,0.48,3.7,4.8,0.782,1.3,4.4,5.7,1.8,1.2,0.6,1.9,2.9,20.3
2009-10,29,TOT,NBA,SF,35,12,918,6.2,15.2,0.405,0.9,3.4,0.267,5.3,11.8,0.444,4.3,5.5,0.784,1.2,3.7,4.9,1.9,1,0.4,1.8,3.6,17.5
2009-10,29,DAL,NBA,SF,31,9,827,6,14.9,0.401,0.9,3.3,0.267,5.1,11.6,0.438,4.1,5.2,0.79,1.1,3.7,4.9,1.9,1,0.4,1.9,3.4,16.9
2009-10,29,WAS,NBA,SF,4,3,91,7.9,18.2,0.435,1.2,4.4,0.273,6.7,13.8,0.486,5.9,7.9,0.75,1.6,3.6,5.1,1.6,1.2,0.8,1.2,5.1,22.9
2010-11,30,WAS,NBA,SF,18,10,409,5.1,14.3,0.358,0.6,2.6,0.241,4.5,11.7,0.383,2.6,4.1,0.617,1.6,4.9,6.5,2.1,1.1,0.4,1.8,3,13.4
2011-12,31,UTA,NBA,SF,43,18,991,5.2,13.1,0.399,0.3,1.3,0.243,4.9,11.8,0.417,2.7,3.5,0.773,1.4,4.3,5.7,1.8,1.2,0.4,1.9,3.3,13.5
2012-13,32,MIN,NBA,SF,11,4,207,5.4,13.4,0.403,0.9,2.8,0.313,4.5,10.6,0.426,1.2,2.1,0.583,1.6,4.7,6.3,0.7,1.7,0.5,1.7,3.1,12.9
Career,NA,,NBA,,507,403,15350,6.5,14.4,0.448,0.8,2.4,0.332,5.7,12,0.471,3.3,4.3,0.77,2,4.8,6.8,1.9,1.2,0.6,1.7,3,17.1
,NA,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7 seasons,NA,DAL,NBA,,431,368,13652,6.6,14.5,0.454,0.8,2.5,0.34,5.8,12.1,0.478,3.4,4.4,0.776,2,4.8,6.9,1.9,1.2,0.7,1.7,3,17.4
1 season,NA,UTA,NBA,,43,18,991,5.2,13.1,0.399,0.3,1.3,0.243,4.9,11.8,0.417,2.7,3.5,0.773,1.4,4.3,5.7,1.8,1.2,0.4,1.9,3.3,13.5
2 seasons,NA,WAS,NBA,,22,13,500,5.6,15,0.375,0.7,2.9,0.25,4.9,12.1,0.405,3.2,4.8,0.657,1.6,4.7,6.3,2,1.2,0.5,1.7,3.4,15.1
1 season,NA,MIN,NBA,,11,4,207,5.4,13.4,0.403,0.9,2.8,0.313,4.5,10.6,0.426,1.2,2.1,0.583,1.6,4.7,6.3,0.7,1.7,0.5,1.7,3.1,12.9
