Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Josh Howard,,8.8,8,6.7,6.4,3.5,3.2,1,0.5,0,-0.2,NA
John Beasley,90.6,8.9,8.1,8,6.8,3.3,2,0.8,NA,NA,NA,NA
Trooper Washington,86.5,8.3,6.9,6.3,6,3.4,2.2,NA,NA,NA,NA,NA
Chris Mills,86.4,8.9,7.8,5.4,5.1,4,3,1.9,1.2,0.3,0.1,NA
Tristan Thompson,86.0,8.7,7.3,6.8,5.7,5.2,2.6,2.5,1.1,NA,NA,NA
Jamal Mashburn,84.2,9,7.3,6.4,6.3,4.1,3.6,3.4,1.8,0.9,0.7,0.2
Jim McMillian,83.5,8.9,7.9,7.8,6.4,6,3.4,2.6,2.5,0.5,NA,NA
Kermit Washington,82.9,9.1,6.9,6.8,5.3,4.3,0.9,0.9,0.8,0.8,0.1,NA
Charles Smith,82.6,9.4,7.4,6.6,4.8,4.4,4,2.4,1.9,0,NA,NA
Cincinnatus Powell,82.5,8.1,7,6.8,6.4,5.4,4.3,3,0.1,NA,NA,NA
Tobias Harris,81.8,7.1,6.8,6.7,6.6,4.8,4.1,2.4,0.9,NA,NA,NA
