Career,Career,Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst),Win Shares (Best to Worst)
Player,Sim,1,2,3,4,5,6,7,8,9,10,11
Anthony Parker,,6.5,6.2,4.9,3.4,1.5,1.4,0.4,0.2,0,NA,NA
Andrew Toney,87.1,7.3,6.4,5.5,4,2.2,1.2,0.5,-0.2,NA,NA,NA
Phil Ford,86.4,6.1,5.7,5.2,2.9,2.4,0.9,0.2,NA,NA,NA,NA
Delonte West,85.5,6.4,5.7,3.7,3.3,2.2,1.3,0.9,0.9,NA,NA,NA
Martell Webster,85.0,6.3,5,4.4,3.5,1.8,1.5,1.3,0.9,0,0,NA
Jeff McInnis,84.4,6.9,5.1,4.9,4.1,1.1,0.3,0.3,0.2,0.1,0.1,-0.1
Eric Murdock,84.3,7.2,6.1,4.3,4.1,2.5,0.6,0.4,0.3,0.1,NA,NA
Ron Williams,84.1,6.1,5.8,4.4,2.6,2.6,1.9,0.1,0,NA,NA,NA
Josh Childress,83.4,7.6,5.7,5.5,4.6,1.4,0.9,0.1,0,NA,NA,NA
Willie Anderson,82.6,6.5,5.6,4.9,4.8,3.3,1.4,0.9,0.7,-0.1,NA,NA
Bill Melchionni,82.2,8.4,6.5,4.8,3.3,1.8,1.6,1.5,1.1,-0.1,NA,NA
